time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.temperature,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.cell_temperature,.location,.serial_number
2025/07/05/17:44:13.523561,14526,1751712253,523108116,,11.937000274658203,0.0,-0.1599999964237213,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.937000274658203,)",(),id1,
2025/07/05/17:44:13.563060,14527,1751712253,562408286,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:13.625760,14528,1751712253,625118049,,11.887001037597656,0.0,-0.1899999976158142,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.887001037597656,)",(),id1,
2025/07/05/17:44:13.663836,14529,1751712253,663304464,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:13.722661,14530,1751712253,722138886,,11.92300033569336,0.0,-0.429999977350235,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.92300033569336,)",(),id1,
2025/07/05/17:44:13.763178,14531,1751712253,762348291,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:13.826802,14532,1751712253,825514286,,11.956000328063965,0.0,-0.41999998688697815,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.956000328063965,)",(),id1,
2025/07/05/17:44:13.863243,14533,1751712253,862052801,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:13.943935,14534,1751712253,942985466,,11.980000495910645,0.0,-0.429999977350235,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.980000495910645,)",(),id1,
2025/07/05/17:44:13.982248,14535,1751712253,981841489,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:14.026696,14536,1751712254,26255939,,11.985000610351562,0.0,-0.4399999976158142,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.985000610351562,)",(),id1,
2025/07/05/17:44:14.062743,14537,1751712254,62083932,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:14.122334,14538,1751712254,121946659,,11.971000671386719,0.0,-0.9799999594688416,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.971000671386719,)",(),id1,
2025/07/05/17:44:14.162373,14539,1751712254,161931358,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
