time,.data
2025/07/05/17:44:13.305094,341.72
2025/07/05/17:44:13.404105,341.42
2025/07/05/17:44:13.563049,341.53
2025/07/05/17:44:13.663797,341.73
2025/07/05/17:44:13.763121,341.98
2025/07/05/17:44:13.862968,342.29
2025/07/05/17:44:13.982224,342.7
2025/07/05/17:44:14.062653,342.99
2025/07/05/17:44:14.162351,343.34
2025/07/05/17:44:14.262693,343.8
2025/07/05/17:44:14.363195,344.55
2025/07/05/17:44:14.563014,346.23
2025/07/05/17:44:14.642848,346.85
2025/07/05/17:44:14.742375,347.55
2025/07/05/17:44:14.842291,348.11
2025/07/05/17:44:14.942702,348.53
2025/07/05/17:44:15.042650,348.87
2025/07/05/17:44:15.142556,349.17
2025/07/05/17:44:15.243634,349.46
2025/07/05/17:44:15.343516,349.78
2025/07/05/17:44:15.503932,350.35
2025/07/05/17:44:15.605866,350.73
2025/07/05/17:44:15.682887,351.01
2025/07/05/17:44:15.782398,351.37
2025/07/05/17:44:15.903614,351.94
2025/07/05/17:44:16.004105,352.5
2025/07/05/17:44:16.083676,353.0
2025/07/05/17:44:16.182675,353.66
2025/07/05/17:44:16.262452,354.18
2025/07/05/17:44:16.362976,354.8
2025/07/05/17:44:16.544464,355.73
2025/07/05/17:44:16.626228,356.07
2025/07/05/17:44:16.704370,356.38
2025/07/05/17:44:16.805461,356.85
2025/07/05/17:44:16.883183,357.33
2025/07/05/17:44:17.026002,358.43
2025/07/05/17:44:17.123987,359.38
2025/07/05/17:44:17.203549,0.17
2025/07/05/17:44:17.283840,0.99
2025/07/05/17:44:17.426279,2.49
2025/07/05/17:44:17.582474,4.15
2025/07/05/17:44:17.663713,4.93
2025/07/05/17:44:17.763121,5.89
2025/07/05/17:44:17.862919,6.72
2025/07/05/17:44:17.984191,7.54
2025/07/05/17:44:18.062673,8.02
2025/07/05/17:44:18.162895,8.59
2025/07/05/17:44:18.242560,9.05
2025/07/05/17:44:18.342035,9.65
2025/07/05/17:44:18.503937,10.67
2025/07/05/17:44:18.628463,11.43
2025/07/05/17:44:18.704737,11.9
2025/07/05/17:44:18.784282,12.31
2025/07/05/17:44:18.862461,12.65
2025/07/05/17:44:18.982563,13.04
2025/07/05/17:44:19.062697,13.23
2025/07/05/17:44:19.163330,13.47
2025/07/05/17:44:19.263674,13.93
2025/07/05/17:44:19.362982,14.57
2025/07/05/17:44:19.562600,16.0
2025/07/05/17:44:19.643019,16.51
2025/07/05/17:44:19.742188,17.04
2025/07/05/17:44:19.842346,17.41
2025/07/05/17:44:19.963085,17.75
2025/07/05/17:44:20.063032,18.03
2025/07/05/17:44:20.162819,18.38
2025/07/05/17:44:20.262922,18.82
2025/07/05/17:44:20.363740,19.3
2025/07/05/17:44:20.562999,20.18
2025/07/05/17:44:20.663400,20.5
2025/07/05/17:44:20.762937,20.75
2025/07/05/17:44:20.862573,21.0
2025/07/05/17:44:20.982042,21.4
2025/07/05/17:44:21.062749,21.77
2025/07/05/17:44:21.163180,22.32
2025/07/05/17:44:21.262522,22.9
2025/07/05/17:44:21.362647,23.45
2025/07/05/17:44:21.542628,24.22
2025/07/05/17:44:21.643238,24.55
2025/07/05/17:44:21.723039,24.81
2025/07/05/17:44:21.826105,25.19
2025/07/05/17:44:21.943249,25.75
2025/07/05/17:44:22.044364,26.28
2025/07/05/17:44:22.141846,26.81
2025/07/05/17:44:22.243131,27.32
2025/07/05/17:44:22.341948,27.76
2025/07/05/17:44:22.503619,28.27
2025/07/05/17:44:22.625962,28.64
2025/07/05/17:44:22.704506,28.98
2025/07/05/17:44:22.782507,29.39
2025/07/05/17:44:22.862271,29.87
2025/07/05/17:44:22.983192,30.59
2025/07/05/17:44:23.062247,30.99
2025/07/05/17:44:23.162925,31.37
2025/07/05/17:44:23.262747,31.68
2025/07/05/17:44:23.362266,32.02
2025/07/05/17:44:23.523736,32.8
2025/07/05/17:44:23.642105,33.59
2025/07/05/17:44:23.743650,34.2
2025/07/05/17:44:23.825531,34.61
2025/07/05/17:44:23.903732,34.94
2025/07/05/17:44:24.026140,35.31
2025/07/05/17:44:24.103007,35.54
2025/07/05/17:44:24.204314,35.92
2025/07/05/17:44:24.284263,36.34
2025/07/05/17:44:24.382386,36.95
2025/07/05/17:44:24.582409,37.94
2025/07/05/17:44:24.662802,38.02
2025/07/05/17:44:24.762870,37.98
2025/07/05/17:44:24.863408,37.77
2025/07/05/17:44:25.003795,37.68
2025/07/05/17:44:25.084036,37.76
2025/07/05/17:44:25.181906,37.92
2025/07/05/17:44:25.262262,37.99
2025/07/05/17:44:25.362850,37.87
2025/07/05/17:44:25.543144,37.28
2025/07/05/17:44:25.643708,37.02
2025/07/05/17:44:25.742588,37.0
2025/07/05/17:44:25.841774,37.14
2025/07/05/17:44:25.923088,37.26
2025/07/05/17:44:26.042092,37.21
2025/07/05/17:44:26.144836,36.92
2025/07/05/17:44:26.241763,36.58
2025/07/05/17:44:26.341583,36.35
2025/07/05/17:44:26.482229,36.42
2025/07/05/17:44:26.581914,36.57
2025/07/05/17:44:26.662511,36.61
2025/07/05/17:44:26.763245,36.45
2025/07/05/17:44:26.863009,36.16
2025/07/05/17:44:26.982162,35.9
2025/07/05/17:44:27.063064,35.88
2025/07/05/17:44:27.163041,36.02
2025/07/05/17:44:27.263096,36.18
2025/07/05/17:44:27.362608,36.17
2025/07/05/17:44:27.542175,35.77
2025/07/05/17:44:27.641547,35.62
2025/07/05/17:44:27.742394,35.67
2025/07/05/17:44:27.842382,35.82
2025/07/05/17:44:27.962913,35.89
2025/07/05/17:44:28.063032,35.77
2025/07/05/17:44:28.162274,35.57
2025/07/05/17:44:28.262450,35.44
2025/07/05/17:44:28.362727,35.49
2025/07/05/17:44:28.562166,35.66
2025/07/05/17:44:28.663102,35.54
2025/07/05/17:44:28.762076,35.31
2025/07/05/17:44:28.862115,35.18
2025/07/05/17:44:28.963003,35.21
2025/07/05/17:44:29.042665,35.3
2025/07/05/17:44:29.142409,35.37
2025/07/05/17:44:29.242238,35.27
2025/07/05/17:44:29.341729,35.05
2025/07/05/17:44:29.522896,34.83
2025/07/05/17:44:29.625688,34.92
2025/07/05/17:44:29.705015,35.0
2025/07/05/17:44:29.783360,35.0
2025/07/05/17:44:29.862336,34.88
2025/07/05/17:44:29.982975,34.57
2025/07/05/17:44:30.062658,34.43
2025/07/05/17:44:30.162934,34.4
2025/07/05/17:44:30.262123,34.48
2025/07/05/17:44:30.362588,34.5
2025/07/05/17:44:30.503888,34.3
2025/07/05/17:44:30.623340,34.05
2025/07/05/17:44:30.722695,33.95
2025/07/05/17:44:30.823008,33.97
2025/07/05/17:44:30.942207,34.0
2025/07/05/17:44:31.043436,33.91
2025/07/05/17:44:31.142348,33.72
2025/07/05/17:44:31.242094,33.59
2025/07/05/17:44:31.342300,33.56
2025/07/05/17:44:31.463432,33.63
2025/07/05/17:44:31.604051,33.59
2025/07/05/17:44:31.683097,33.49
2025/07/05/17:44:31.784238,33.35
2025/07/05/17:44:31.861962,33.31
2025/07/05/17:44:31.981639,33.36
2025/07/05/17:44:32.062668,33.41
2025/07/05/17:44:32.161731,33.39
2025/07/05/17:44:32.262944,33.28
2025/07/05/17:44:32.362788,33.19
2025/07/05/17:44:32.562990,33.27
2025/07/05/17:44:32.662986,33.32
2025/07/05/17:44:32.782983,33.27
2025/07/05/17:44:32.862783,33.21
2025/07/05/17:44:32.981983,33.18
2025/07/05/17:44:33.062217,33.22
2025/07/05/17:44:33.162013,33.26
2025/07/05/17:44:33.241800,33.25
2025/07/05/17:44:33.343063,33.19
2025/07/05/17:44:33.503464,33.14
2025/07/05/17:44:33.603912,33.19
2025/07/05/17:44:33.683025,33.24
2025/07/05/17:44:33.782150,33.24
2025/07/05/17:44:33.862289,33.19
2025/07/05/17:44:33.982234,33.08
2025/07/05/17:44:34.061796,33.05
2025/07/05/17:44:34.162106,33.07
2025/07/05/17:44:34.242086,33.11
2025/07/05/17:44:34.342031,33.1
2025/07/05/17:44:34.503748,32.96
2025/07/05/17:44:34.625732,32.89
2025/07/05/17:44:34.723200,32.9
2025/07/05/17:44:34.841899,32.9
2025/07/05/17:44:34.922772,32.84
2025/07/05/17:44:35.025438,32.72
2025/07/05/17:44:35.103699,32.65
2025/07/05/17:44:35.182011,32.62
2025/07/05/17:44:35.262159,32.64
2025/07/05/17:44:35.362035,32.64
2025/07/05/17:44:35.541763,32.49
2025/07/05/17:44:35.642105,32.42
2025/07/05/17:44:35.742152,32.42
2025/07/05/17:44:35.841748,32.43
2025/07/05/17:44:35.941852,32.37
2025/07/05/17:44:36.041795,32.23
2025/07/05/17:44:36.141859,32.11
2025/07/05/17:44:36.242162,32.09
2025/07/05/17:44:36.341612,32.12
2025/07/05/17:44:36.502839,32.03
2025/07/05/17:44:36.625105,31.89
2025/07/05/17:44:36.702639,31.83
2025/07/05/17:44:36.803663,31.82
2025/07/05/17:44:36.902831,31.8
2025/07/05/17:44:37.025462,31.69
2025/07/05/17:44:37.122961,31.59
2025/07/05/17:44:37.225703,31.56
2025/07/05/17:44:37.302603,31.57
2025/07/05/17:44:37.403763,31.56
2025/07/05/17:44:37.561785,31.41
2025/07/05/17:44:37.641927,31.33
2025/07/05/17:44:37.742224,31.27
2025/07/05/17:44:37.841998,31.24
2025/07/05/17:44:37.963214,31.17
2025/07/05/17:44:38.061946,31.07
2025/07/05/17:44:38.161811,30.98
2025/07/05/17:44:38.262030,30.95
2025/07/05/17:44:38.361770,30.93
2025/07/05/17:44:38.561840,30.75
2025/07/05/17:44:38.661956,30.63
2025/07/05/17:44:38.762000,30.56
2025/07/05/17:44:38.841889,30.54
2025/07/05/17:44:38.942184,30.48
2025/07/05/17:44:39.041764,30.38
2025/07/05/17:44:39.141911,30.29
2025/07/05/17:44:39.242033,30.25
2025/07/05/17:44:39.362059,30.2
2025/07/05/17:44:39.541746,29.99
2025/07/05/17:44:39.641594,29.88
2025/07/05/17:44:39.722359,29.84
2025/07/05/17:44:39.825265,29.83
2025/07/05/17:44:39.902730,29.8
2025/07/05/17:44:40.025380,29.68
2025/07/05/17:44:40.122565,29.59
2025/07/05/17:44:40.225230,29.55
2025/07/05/17:44:40.303246,29.51
2025/07/05/17:44:40.403454,29.41
2025/07/05/17:44:40.561769,29.26
2025/07/05/17:44:40.662125,29.22
2025/07/05/17:44:40.762108,29.2
2025/07/05/17:44:40.861665,29.15
2025/07/05/17:44:40.981516,29.04
2025/07/05/17:44:41.061929,28.98
2025/07/05/17:44:41.161754,28.93
2025/07/05/17:44:41.241761,28.89
2025/07/05/17:44:41.341626,28.83
2025/07/05/17:44:41.523173,28.7
2025/07/05/17:44:41.625177,28.67
2025/07/05/17:44:41.702658,28.65
2025/07/05/17:44:41.781827,28.61
2025/07/05/17:44:41.862003,28.55
2025/07/05/17:44:41.982108,28.46
2025/07/05/17:44:42.061724,28.42
2025/07/05/17:44:42.161779,28.38
2025/07/05/17:44:42.262024,28.33
2025/07/05/17:44:42.362345,28.26
2025/07/05/17:44:42.503065,28.2
2025/07/05/17:44:42.624652,28.17
2025/07/05/17:44:42.702516,28.12
2025/07/05/17:44:42.781513,28.06
2025/07/05/17:44:42.861753,27.99
2025/07/05/17:44:42.961569,27.92
2025/07/05/17:44:43.061919,27.87
2025/07/05/17:44:43.161865,27.82
2025/07/05/17:44:43.262019,27.76
2025/07/05/17:44:43.362073,27.71
2025/07/05/17:44:43.561731,27.59
2025/07/05/17:44:43.663090,27.51
2025/07/05/17:44:43.761636,27.43
2025/07/05/17:44:43.861760,27.38
2025/07/05/17:44:43.981826,27.31
2025/07/05/17:44:44.061966,27.26
2025/07/05/17:44:44.161522,27.19
2025/07/05/17:44:44.261812,27.13
2025/07/05/17:44:44.425448,27.04
2025/07/05/17:44:44.581463,26.94
2025/07/05/17:44:44.662106,26.9
2025/07/05/17:44:44.761487,26.85
2025/07/05/17:44:44.841468,26.82
2025/07/05/17:44:44.941819,26.78
2025/07/05/17:44:45.041681,26.74
2025/07/05/17:44:45.141508,26.7
2025/07/05/17:44:45.241613,26.64
2025/07/05/17:44:45.341607,26.58
2025/07/05/17:44:45.502852,26.52
2025/07/05/17:44:45.625292,26.49
2025/07/05/17:44:45.702516,26.47
2025/07/05/17:44:45.782081,26.45
2025/07/05/17:44:45.861698,26.42
2025/07/05/17:44:45.981871,26.39
2025/07/05/17:44:46.061844,26.36
2025/07/05/17:44:46.161726,26.33
2025/07/05/17:44:46.261642,26.32
2025/07/05/17:44:46.361959,26.33
2025/07/05/17:44:46.561357,26.31
2025/07/05/17:44:46.662049,26.28
2025/07/05/17:44:46.762028,26.26
2025/07/05/17:44:46.862067,26.25
2025/07/05/17:44:46.982116,26.25
2025/07/05/17:44:47.081947,26.25
2025/07/05/17:44:47.181848,26.25
2025/07/05/17:44:47.261845,26.25
2025/07/05/17:44:47.361191,26.25
2025/07/05/17:44:47.522822,26.23
2025/07/05/17:44:47.641609,26.21
2025/07/05/17:44:47.742126,26.21
2025/07/05/17:44:47.841787,26.23
2025/07/05/17:44:47.941737,26.23
2025/07/05/17:44:48.061606,26.23
2025/07/05/17:44:48.161839,26.24
2025/07/05/17:44:48.262051,26.24
2025/07/05/17:44:48.361637,26.24
2025/07/05/17:44:48.542075,26.26
2025/07/05/17:44:48.641197,26.28
2025/07/05/17:44:48.741803,26.31
2025/07/05/17:44:48.841693,26.32
2025/07/05/17:44:48.941390,26.33
2025/07/05/17:44:49.024997,26.34
2025/07/05/17:44:49.122689,26.36
2025/07/05/17:44:49.203254,26.38
2025/07/05/17:44:49.282102,26.39
2025/07/05/17:44:49.403500,26.43
2025/07/05/17:44:49.561201,26.48
2025/07/05/17:44:49.661707,26.5
2025/07/05/17:44:49.761599,26.53
2025/07/05/17:44:49.861352,26.58
2025/07/05/17:44:49.982063,26.62
2025/07/05/17:44:50.061794,26.64
2025/07/05/17:44:50.161169,26.67
2025/07/05/17:44:50.261380,26.7
2025/07/05/17:44:50.361217,26.73
2025/07/05/17:44:50.541488,26.8
2025/07/05/17:44:50.641469,26.85
2025/07/05/17:44:50.742147,26.9
2025/07/05/17:44:50.841210,26.95
2025/07/05/17:44:50.942224,26.99
2025/07/05/17:44:51.062019,27.04
2025/07/05/17:44:51.162265,27.08
2025/07/05/17:44:51.241286,27.11
2025/07/05/17:44:51.341291,27.16
2025/07/05/17:44:51.502753,27.27
2025/07/05/17:44:51.603149,27.32
2025/07/05/17:44:51.682297,27.36
2025/07/05/17:44:51.761963,27.39
2025/07/05/17:44:51.862079,27.46
2025/07/05/17:44:52.003002,27.55
2025/07/05/17:44:52.082126,27.61
2025/07/05/17:44:52.182142,27.69
2025/07/05/17:44:52.261304,27.75
2025/07/05/17:44:52.361899,27.81
2025/07/05/17:44:52.522395,27.89
2025/07/05/17:44:52.603199,27.96
2025/07/05/17:44:52.681940,28.02
2025/07/05/17:44:52.782092,28.12
2025/07/05/17:44:52.881357,28.21
2025/07/05/17:44:52.982060,28.29
2025/07/05/17:44:53.061436,28.35
2025/07/05/17:44:53.161620,28.41
2025/07/05/17:44:53.261757,28.48
2025/07/05/17:44:53.361202,28.56
2025/07/05/17:44:53.561901,28.65
2025/07/05/17:44:53.661115,28.63
2025/07/05/17:44:53.761374,28.02
2025/07/05/17:44:53.861930,26.55
2025/07/05/17:44:53.981846,25.15
2025/07/05/17:44:54.061154,24.48
2025/07/05/17:44:54.162043,23.81
2025/07/05/17:44:54.261177,23.31
2025/07/05/17:44:54.341909,23.05
2025/07/05/17:44:54.503054,22.85
2025/07/05/17:44:54.624932,22.89
2025/07/05/17:44:54.702264,22.93
2025/07/05/17:44:54.803455,22.99
2025/07/05/17:44:54.902442,23.11
2025/07/05/17:44:55.003397,23.32
2025/07/05/17:44:55.082015,23.55
2025/07/05/17:44:55.182156,23.94
2025/07/05/17:44:55.261341,24.3
2025/07/05/17:44:55.361849,24.68
2025/07/05/17:44:55.561244,25.21
2025/07/05/17:44:55.661818,25.41
2025/07/05/17:44:55.781919,25.63
2025/07/05/17:44:55.861335,25.79
