time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z
2025/07/05/17:44:13.305157,7262,1751712253,173540352,map,-0.12899989202077805,0.16570765781528504,0.0,0.0,0.0,0.0
2025/07/05/17:44:13.462767,7263,1751712253,373556736,map,-0.10442848401682034,0.13414429442189743,0.0,0.0,0.0,0.0
2025/07/05/17:44:13.582961,7264,1751712253,373564160,map,-0.10442848401682034,0.13414429442189743,0.0,0.0,0.0,0.0
2025/07/05/17:44:13.684176,7265,1751712253,573573888,map,-0.0982856320158309,0.12625345357355053,0.0,0.0,0.0,0.0
2025/07/05/17:44:13.803967,7266,1751712253,773580032,map,-0.11671418801879921,0.14992597611859124,0.0,0.0,0.0,0.0
2025/07/05/17:44:13.882522,7267,1751712253,773580032,map,-0.11671418801879921,0.14992597611859124,0.0,0.0,0.0,0.0
2025/07/05/17:44:14.004383,7268,1751712253,973586944,map,-0.06757137201088374,0.08679924933181599,0.0,0.0,0.0,0.0
2025/07/05/17:44:14.082501,7269,1751712253,973592576,map,-0.06757137201088374,0.08679924933181599,0.0,0.0,0.0,0.0
2025/07/05/17:44:14.182489,7270,1751712253,973597184,map,-0.06757137201088374,0.08679924933181599,0.0,0.0,0.0,0.0
2025/07/05/17:44:14.304136,7271,1751712254,173604864,map,-0.11671418801879921,0.14992597611859124,0.0,0.0,0.0,0.0
2025/07/05/17:44:14.427511,7272,1751712254,373609728,map,-0.12899989202077805,0.16570765781528504,0.0,0.0,0.0,0.0
2025/07/05/17:44:14.582843,7273,1751712254,373623808,map,-0.12899989202077805,0.16570765781528504,0.0,0.0,0.0,0.0
2025/07/05/17:44:14.662971,7274,1751712254,573629696,map,-0.1719998560277041,0.22094354375371342,0.0,0.0,0.0,0.0
2025/07/05/17:44:14.762968,7275,1751712254,573636352,map,-0.1719998560277041,0.22094354375371342,0.0,0.0,0.0,0.0
