time,.data
2025/07/05/17:44:13.305161,22
2025/07/05/17:44:13.462782,22
2025/07/05/17:44:13.582958,22
2025/07/05/17:44:13.684190,22
2025/07/05/17:44:13.804047,22
2025/07/05/17:44:13.882521,22
2025/07/05/17:44:14.004390,22
2025/07/05/17:44:14.082505,22
2025/07/05/17:44:14.182509,22
2025/07/05/17:44:14.304141,22
2025/07/05/17:44:14.427552,22
2025/07/05/17:44:14.583189,22
2025/07/05/17:44:14.662979,22
2025/07/05/17:44:14.762972,22
2025/07/05/17:44:14.862993,22
2025/07/05/17:44:14.963306,22
2025/07/05/17:44:15.062667,22
2025/07/05/17:44:15.163912,22
2025/07/05/17:44:15.262466,22
2025/07/05/17:44:15.362489,22
2025/07/05/17:44:15.523865,22
2025/07/05/17:44:15.628017,22
2025/07/05/17:44:15.702698,22
2025/07/05/17:44:15.803724,22
2025/07/05/17:44:15.923315,22
2025/07/05/17:44:16.025960,22
2025/07/05/17:44:16.103194,22
2025/07/05/17:44:16.205676,22
2025/07/05/17:44:16.282266,22
2025/07/05/17:44:16.404670,22
2025/07/05/17:44:16.562672,22
2025/07/05/17:44:16.643413,21
2025/07/05/17:44:16.723861,21
2025/07/05/17:44:16.827834,21
2025/07/05/17:44:16.922891,21
2025/07/05/17:44:17.044623,21
2025/07/05/17:44:17.143944,21
2025/07/05/17:44:17.225916,21
2025/07/05/17:44:17.302928,21
2025/07/05/17:44:17.483268,21
2025/07/05/17:44:17.604643,21
2025/07/05/17:44:17.704231,21
2025/07/05/17:44:17.782993,21
2025/07/05/17:44:17.904145,22
2025/07/05/17:44:18.004613,22
2025/07/05/17:44:18.084200,22
2025/07/05/17:44:18.183622,22
2025/07/05/17:44:18.263068,22
2025/07/05/17:44:18.362376,22
2025/07/05/17:44:18.542863,22
2025/07/05/17:44:18.641597,22
2025/07/05/17:44:18.723814,22
2025/07/05/17:44:18.806815,22
2025/07/05/17:44:18.904130,22
2025/07/05/17:44:19.005564,22
2025/07/05/17:44:19.103040,22
2025/07/05/17:44:19.204727,22
2025/07/05/17:44:19.283120,22
2025/07/05/17:44:19.405713,21
2025/07/05/17:44:19.582334,21
2025/07/05/17:44:19.662728,21
2025/07/05/17:44:19.762356,21
2025/07/05/17:44:19.863440,21
2025/07/05/17:44:20.004616,21
2025/07/05/17:44:20.103899,21
2025/07/05/17:44:20.205106,22
2025/07/05/17:44:20.283314,22
2025/07/05/17:44:20.424820,22
2025/07/05/17:44:20.583232,22
2025/07/05/17:44:20.703821,22
2025/07/05/17:44:20.783403,22
2025/07/05/17:44:20.904178,22
2025/07/05/17:44:21.004680,22
2025/07/05/17:44:21.083468,22
2025/07/05/17:44:21.205561,22
2025/07/05/17:44:21.303926,22
2025/07/05/17:44:21.382393,22
2025/07/05/17:44:21.562983,21
2025/07/05/17:44:21.662746,21
2025/07/05/17:44:21.742365,21
2025/07/05/17:44:21.843127,21
2025/07/05/17:44:21.962410,21
2025/07/05/17:44:22.062924,22
2025/07/05/17:44:22.162438,22
2025/07/05/17:44:22.263738,22
2025/07/05/17:44:22.404797,22
2025/07/05/17:44:22.545269,22
2025/07/05/17:44:22.643959,22
2025/07/05/17:44:22.722979,22
2025/07/05/17:44:22.805890,22
2025/07/05/17:44:22.881902,22
2025/07/05/17:44:23.004815,22
2025/07/05/17:44:23.082664,22
2025/07/05/17:44:23.182624,22
2025/07/05/17:44:23.303467,22
2025/07/05/17:44:23.426372,22
2025/07/05/17:44:23.562721,22
2025/07/05/17:44:23.662596,22
2025/07/05/17:44:23.762703,22
2025/07/05/17:44:23.842122,22
2025/07/05/17:44:23.943343,22
2025/07/05/17:44:24.041754,22
2025/07/05/17:44:24.123063,22
2025/07/05/17:44:24.226490,22
2025/07/05/17:44:24.310494,22
2025/07/05/17:44:24.445533,22
2025/07/05/17:44:24.604392,22
2025/07/05/17:44:24.683595,22
2025/07/05/17:44:24.804561,22
2025/07/05/17:44:24.903981,22
2025/07/05/17:44:25.025927,22
2025/07/05/17:44:25.104715,22
2025/07/05/17:44:25.204623,22
2025/07/05/17:44:25.281774,22
2025/07/05/17:44:25.404893,22
2025/07/05/17:44:25.562176,22
2025/07/05/17:44:25.662850,22
2025/07/05/17:44:25.762320,22
2025/07/05/17:44:25.862776,22
2025/07/05/17:44:25.943731,22
2025/07/05/17:44:26.062311,22
