time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.fix_type,.lat,.lon,.alt,.eph,.epv,.vel,.cog,.satellites_visible,.alt_ellipsoid,.h_acc,.v_acc,.vel_acc,.hdg_acc,.yaw,.dgps_numch,.dgps_age
2025/07/05/17:44:13.305199,7262,1751712253,173540352,/wgs84,4,-72870829,1127959232,18760,56,86,21,32210,22,36089,1273,1746,513,0,0,255,4294967295
2025/07/05/17:44:13.462795,7263,1751712253,373556736,/wgs84,4,-72870826,1127959230,18780,56,86,17,32210,22,36110,1277,1749,455,0,0,255,4294967295
2025/07/05/17:44:13.582973,7264,1751712253,373564160,/wgs84,4,-72870826,1127959230,18780,56,86,17,32210,22,36110,1277,1749,455,0,0,255,4294967295
2025/07/05/17:44:13.684204,7265,1751712253,573573888,/wgs84,4,-72870822,1127959227,18790,56,86,16,32210,22,36119,1281,1751,473,0,0,255,4294967295
2025/07/05/17:44:13.804053,7266,1751712253,773580032,/wgs84,4,-72870819,1127959223,18830,56,86,19,32210,22,36159,1286,1751,484,0,0,255,4294967295
2025/07/05/17:44:13.882544,7267,1751712253,773580032,/wgs84,4,-72870819,1127959223,18830,56,86,19,32210,22,36159,1286,1751,484,0,0,255,4294967295
2025/07/05/17:44:14.004401,7268,1751712253,973586944,/wgs84,4,-72870817,1127959220,18810,56,86,11,32210,22,36139,1290,1755,432,0,0,255,4294967295
2025/07/05/17:44:14.082511,7269,1751712253,973592576,/wgs84,4,-72870817,1127959220,18810,56,86,11,32210,22,36139,1290,1755,432,0,0,255,4294967295
2025/07/05/17:44:14.182540,7270,1751712253,973597184,/wgs84,4,-72870817,1127959220,18810,56,86,11,32210,22,36139,1290,1755,432,0,0,255,4294967295
2025/07/05/17:44:14.304172,7271,1751712254,173604864,/wgs84,4,-72870814,1127959217,18800,56,86,19,32210,22,36129,1293,1761,409,0,0,255,4294967295
2025/07/05/17:44:14.427652,7272,1751712254,373609728,/wgs84,4,-72870809,1127959215,18770,56,86,21,32210,22,36099,1296,1767,393,0,0,255,4294967295
2025/07/05/17:44:14.583292,7273,1751712254,373623808,/wgs84,4,-72870809,1127959215,18770,56,86,21,32210,22,36099,1296,1767,393,0,0,255,4294967295
2025/07/05/17:44:14.663031,7274,1751712254,573629696,/wgs84,4,-72870805,1127959213,18730,56,86,28,32210,22,36059,1297,1772,372,0,0,255,4294967295
2025/07/05/17:44:14.763072,7275,1751712254,573636352,/wgs84,4,-72870805,1127959213,18730,56,86,28,32210,22,36059,1297,1772,372,0,0,255,4294967295
2025/07/05/17:44:14.863028,7276,1751712254,773642496,/wgs84,4,-72870802,1127959210,18610,56,86,17,32210,22,35939,1288,1761,265,0,0,255,4294967295
2025/07/05/17:44:14.963336,7277,1751712254,773649152,/wgs84,4,-72870802,1127959210,18610,56,86,17,32210,22,35939,1288,1761,265,0,0,255,4294967295
2025/07/05/17:44:15.062678,7278,1751712254,973655296,/wgs84,4,-72870797,1127959208,18570,56,86,20,32210,22,35899,1282,1760,294,0,0,255,4294967295
2025/07/05/17:44:15.163988,7279,1751712254,973661184,/wgs84,4,-72870797,1127959208,18570,56,86,20,32210,22,35899,1282,1760,294,0,0,255,4294967295
2025/07/05/17:44:15.262491,7280,1751712255,173667328,/wgs84,4,-72870793,1127959205,18540,56,86,21,32210,22,35869,1279,1760,320,0,0,255,4294967295
2025/07/05/17:44:15.362519,7281,1751712255,173673216,/wgs84,4,-72870793,1127959205,18540,56,86,21,32210,22,35869,1279,1760,320,0,0,255,4294967295
2025/07/05/17:44:15.523897,7282,1751712255,373683200,/wgs84,4,-72870788,1127959202,18550,56,86,24,32210,22,35879,1279,1763,348,0,0,255,4294967295
2025/07/05/17:44:15.628272,7283,1751712255,573688320,/wgs84,4,-72870785,1127959200,18540,56,86,21,32210,22,35869,1280,1766,445,0,0,255,4294967295
2025/07/05/17:44:15.702755,7284,1751712255,573696768,/wgs84,4,-72870785,1127959200,18540,56,86,21,32210,22,35869,1280,1766,445,0,0,255,4294967295
2025/07/05/17:44:15.803752,7285,1751712255,773704960,/wgs84,4,-72870782,1127959198,18490,56,86,18,32210,22,35819,1278,1765,316,0,0,255,4294967295
2025/07/05/17:44:15.923342,7286,1751712255,773712640,/wgs84,4,-72870782,1127959198,18490,56,86,18,32210,22,35819,1278,1765,316,0,0,255,4294967295
2025/07/05/17:44:16.026009,7287,1751712255,973718272,/wgs84,4,-72870778,1127959197,18440,56,86,26,32210,22,35769,1273,1755,301,0,0,255,4294967295
2025/07/05/17:44:16.103275,7288,1751712255,973725440,/wgs84,4,-72870778,1127959197,18440,56,86,26,32210,22,35769,1273,1755,301,0,0,255,4294967295
2025/07/05/17:44:16.205690,7289,1751712256,173732864,/wgs84,4,-72870774,1127959197,18420,56,86,23,32210,22,35749,1268,1745,347,0,0,255,4294967295
2025/07/05/17:44:16.282637,7290,1751712256,173740544,/wgs84,4,-72870774,1127959197,18420,56,86,23,32210,22,35749,1268,1745,347,0,0,255,4294967295
2025/07/05/17:44:16.404767,7291,1751712256,173746688,/wgs84,4,-72870774,1127959197,18420,56,86,23,32210,22,35749,1268,1745,347,0,0,255,4294967295
2025/07/05/17:44:16.562721,7292,1751712256,373759744,/wgs84,4,-72870771,1127959198,18400,56,86,28,32210,22,35729,1266,1745,354,0,0,255,4294967295
2025/07/05/17:44:16.643487,7293,1751712256,573759744,/wgs84,4,-72870765,1127959196,18390,57,89,38,32210,21,35719,1265,1746,385,0,0,255,4294967295
2025/07/05/17:44:16.723855,7294,1751712256,573767680,/wgs84,4,-72870765,1127959196,18390,57,89,38,32210,21,35719,1265,1746,385,0,0,255,4294967295
2025/07/05/17:44:16.827851,7295,1751712256,773775872,/wgs84,4,-72870759,1127959195,18390,57,89,28,32210,21,35719,1263,1746,300,0,0,255,4294967295
2025/07/05/17:44:16.922904,7296,1751712256,773782528,/wgs84,4,-72870759,1127959195,18390,57,89,28,32210,21,35719,1263,1746,300,0,0,255,4294967295
2025/07/05/17:44:17.044680,7297,1751712256,973787904,/wgs84,4,-72870754,1127959195,18340,57,89,39,32210,21,35669,1263,1746,358,0,0,255,4294967295
2025/07/05/17:44:17.143957,7298,1751712256,973794048,/wgs84,4,-72870754,1127959195,18340,57,89,39,32210,21,35669,1263,1746,358,0,0,255,4294967295
2025/07/05/17:44:17.225963,7299,1751712257,173801728,/wgs84,4,-72870745,1127959193,18360,57,89,65,33283,21,35689,1263,1742,394,0,0,255,4294967295
2025/07/05/17:44:17.303015,7300,1751712257,173808896,/wgs84,4,-72870745,1127959193,18360,57,89,65,33283,21,35689,1263,1742,394,0,0,255,4294967295
2025/07/05/17:44:17.483297,7301,1751712257,373819904,/wgs84,4,-72870736,1127959192,18360,57,89,56,33776,21,35689,1263,1740,387,0,0,255,4294967295
2025/07/05/17:44:17.604695,7302,1751712257,573826816,/wgs84,4,-72870726,1127959189,18380,57,89,64,33164,21,35709,1262,1743,385,0,0,255,4294967295
2025/07/05/17:44:17.704316,7303,1751712257,573833728,/wgs84,4,-72870726,1127959189,18380,57,89,64,33164,21,35709,1262,1743,385,0,0,255,4294967295
2025/07/05/17:44:17.783021,7304,1751712257,573841920,/wgs84,4,-72870726,1127959189,18380,57,89,64,33164,21,35709,1262,1743,385,0,0,255,4294967295
2025/07/05/17:44:17.904171,7305,1751712257,773847808,/wgs84,4,-72870716,1127959187,18400,56,86,76,34677,22,35729,1261,1744,366,0,0,255,4294967295
2025/07/05/17:44:18.004683,7306,1751712257,973852928,/wgs84,4,-72870709,1127959186,18330,56,86,43,33636,22,35659,1257,1743,400,0,0,255,4294967295
2025/07/05/17:44:18.084209,7307,1751712257,973858048,/wgs84,4,-72870709,1127959186,18330,56,86,43,33636,22,35659,1257,1743,400,0,0,255,4294967295
2025/07/05/17:44:18.183641,7308,1751712257,973863936,/wgs84,4,-72870709,1127959186,18330,56,86,43,33636,22,35659,1257,1743,400,0,0,255,4294967295
2025/07/05/17:44:18.263237,7309,1751712258,173870592,/wgs84,4,-72870701,1127959183,18330,56,86,63,33765,22,35659,1256,1746,377,0,0,255,4294967295
2025/07/05/17:44:18.362387,7310,1751712258,173876224,/wgs84,4,-72870701,1127959183,18330,56,86,63,33765,22,35659,1256,1746,377,0,0,255,4294967295
2025/07/05/17:44:18.542887,7311,1751712258,373883904,/wgs84,4,-72870692,1127959181,18340,56,86,51,33971,22,35669,1256,1748,348,0,0,255,4294967295
2025/07/05/17:44:18.641616,7312,1751712258,573889792,/wgs84,4,-72870684,1127959181,18320,56,86,46,33971,22,35649,1257,1750,353,0,0,255,4294967295
2025/07/05/17:44:18.723875,7313,1751712258,573897984,/wgs84,4,-72870684,1127959181,18320,56,86,46,33971,22,35649,1257,1750,353,0,0,255,4294967295
2025/07/05/17:44:18.806852,7314,1751712258,773904384,/wgs84,4,-72870676,1127959181,18300,56,86,43,34119,22,35630,1257,1754,376,0,0,255,4294967295
2025/07/05/17:44:18.904163,7315,1751712258,773910272,/wgs84,4,-72870676,1127959181,18300,56,86,43,34119,22,35630,1257,1754,376,0,0,255,4294967295
2025/07/05/17:44:19.006042,7316,1751712258,973916672,/wgs84,4,-72870668,1127959179,18280,56,86,50,34957,22,35609,1255,1756,357,0,0,255,4294967295
2025/07/05/17:44:19.103073,7317,1751712258,973922048,/wgs84,4,-72870668,1127959179,18280,56,86,50,34957,22,35609,1255,1756,357,0,0,255,4294967295
