time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2025/07/05/17:44:13.324253,3127,1751712253,319540352,map,-1.0774632692337036,4.226789951324463,-1.4659595489501953,0.04739217200733256,-0.04955308406723787,-0.8080883945083868,-0.5850569378724694
2025/07/05/17:44:13.463080,3128,1751712253,459556736,map,-1.095981240272522,4.249342918395996,-1.4661086797714233,0.047501254327954275,-0.05054697968649939,-0.8094963250485459,-0.5830131502931496
2025/07/05/17:44:13.604517,3129,1751712253,600564160,map,-1.1143592596054077,4.270423889160156,-1.4689850807189941,0.04707315177501695,-0.05248613534063549,-0.8088288728707265,-0.5838023453101578
2025/07/05/17:44:13.704368,3130,1751712253,700573888,map,-1.1273150444030762,4.2863359451293945,-1.4708253145217896,0.04755659493633993,-0.05138077065008003,-0.8078938602629534,-0.5851545925948869
2025/07/05/17:44:13.804396,3131,1751712253,800580032,map,-1.1392955780029297,4.301883697509766,-1.471722960472107,0.04838305258871069,-0.04879793114439782,-0.8067777626273898,-0.5868453662321683
2025/07/05/17:44:13.923487,3132,1751712253,919580032,map,-1.1582499742507935,4.320827484130859,-1.4722275733947754,0.04889889029382628,-0.04706069765370475,-0.8053219929666002,-0.5889402999529597
2025/07/05/17:44:14.005085,3133,1751712254,586944,map,-1.1698631048202515,4.3329057693481445,-1.4729914665222168,0.04871701531655393,-0.047154322090830404,-0.8031965781016521,-0.5918432049560068
2025/07/05/17:44:14.104139,3134,1751712254,100592576,map,-1.1856426000595093,4.344609260559082,-1.4756065607070923,0.04862029396377315,-0.04805952174773448,-0.8016801711957305,-0.593830996577174
2025/07/05/17:44:14.204897,3135,1751712254,200597184,map,-1.2009247541427612,4.359140872955322,-1.477942943572998,0.047768274680306796,-0.049386722614431756,-0.7997448623783032,-0.5963952537227143
2025/07/05/17:44:14.323715,3136,1751712254,319604864,map,-1.2240253686904907,4.386248588562012,-1.4841920137405396,0.04490496530300175,-0.051943982973188946,-0.7972327015101378,-0.5997544383886333
2025/07/05/17:44:14.482381,3137,1751712254,478617152,map,-1.2528886795043945,4.423895359039307,-1.4940170049667358,0.04152139362061101,-0.05529649350029712,-0.7930791226764617,-0.6051807803070975
2025/07/05/17:44:14.604086,3138,1751712254,600623808,map,-1.2695095539093018,4.451241493225098,-1.5022920370101929,0.045947706902170565,-0.051067741108255675,-0.7844363033621145,-0.6163932024415203
2025/07/05/17:44:14.703900,3139,1751712254,699629696,map,-1.2841053009033203,4.475418567657471,-1.5099904537200928,0.049426849704298455,-0.04762128104097591,-0.7813220241025767,-0.6203427236395844
2025/07/05/17:44:14.782632,3140,1751712254,778636352,map,-1.2950242757797241,4.494045257568359,-1.513403058052063,0.05181437600643625,-0.04534463981079964,-0.777636184292914,-0.6249328755617275
2025/07/05/17:44:14.882940,3141,1751712254,878642496,map,-1.3078495264053345,4.514880657196045,-1.5195515155792236,0.051530392092437635,-0.045775301875059425,-0.7745831246694658,-0.6287051959434831
2025/07/05/17:44:15.003928,3142,1751712254,999649152,map,-1.322012186050415,4.53879976272583,-1.5227375030517578,0.0492146754109921,-0.04835872954311017,-0.7721098520470577,-0.6317323209817888
2025/07/05/17:44:15.086441,3143,1751712255,78655296,map,-1.3325270414352417,4.553603649139404,-1.5273171663284302,0.04625093110418143,-0.05190505424848324,-0.770012976343632,-0.6342292432377108
2025/07/05/17:44:15.205810,3144,1751712255,200661184,map,-1.346526026725769,4.575498104095459,-1.5308817625045776,0.04393518926905953,-0.054693593493020595,-0.7681775837831128,-0.6363815755879886
2025/07/05/17:44:15.304045,3145,1751712255,299667328,map,-1.3585494756698608,4.594740390777588,-1.534500241279602,0.04307713452888998,-0.055552485625528725,-0.7664944548997938,-0.6383921462780328
2025/07/05/17:44:15.384664,3146,1751712255,378673216,map,-1.367307186126709,4.609605312347412,-1.5369919538497925,0.04360112800863066,-0.05450442669323356,-0.7648086256291076,-0.6404654364370749
2025/07/05/17:44:15.543767,3147,1751712255,539683200,map,-1.3839502334594727,4.643369197845459,-1.5419723987579346,0.04534441898593499,-0.051301661862811654,-0.761859750272356,-0.6441131453959663
2025/07/05/17:44:15.628413,3148,1751712255,622688320,map,-1.392694115638733,4.659358501434326,-1.5437170267105103,0.04613079147780195,-0.04980658638378241,-0.7598721040456285,-0.646518089092406
