time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z
2025/07/05/17:44:13.324279,7262,1751712253,319540352,base_link,0.143818404577926,0.008755746425052655,0.024009981328367923,0.050090543925762177,0.00469380151480437,0.059499915689229965
2025/07/05/17:44:13.463101,7263,1751712253,459556736,base_link,0.14496977444872458,0.038199094900465164,0.02497834534065946,0.009537645615637302,0.011190029792487627,0.03996887803077698
2025/07/05/17:44:13.604635,7264,1751712253,600564160,base_link,0.14564179303170743,0.04333349372863082,0.01921545780941092,0.027201686054468155,0.00841787829995155,-0.021758118644356728
2025/07/05/17:44:13.704524,7265,1751712253,700573888,base_link,0.15358733637762625,0.03919114628806236,0.018692063463794612,-0.017845118418335915,-0.005024480633437638,-0.03644620627164841
2025/07/05/17:44:13.804513,7266,1751712253,800580032,base_link,0.1546561959188466,0.045370075492472954,0.016363924349539684,-0.048516929149627686,-0.017032090574502952,-0.04450508952140808
2025/07/05/17:44:13.923508,7267,1751712253,919580032,base_link,0.15667593146781633,0.05896893777186028,0.02398985736330397,-0.032561492174863815,-0.014552284032106406,-0.0545208640396595
2025/07/05/17:44:14.005306,7268,1751712254,586944,base_link,0.1589886432026968,0.06253421678519969,0.027326040550932875,0.007523084059357643,-0.00038171769119799896,-0.06186039373278618
2025/07/05/17:44:14.104153,7269,1751712254,100592576,base_link,0.16270104470295338,0.06452359036469073,0.03097905090920583,0.025448646396398544,0.008823568001389497,-0.06317910552024841
2025/07/05/17:44:14.205048,7270,1751712254,200597184,base_link,0.20848118404831847,0.07476121159902505,0.02513224081474228,0.035455573350191116,0.005793916061520569,-0.06304968893527985
2025/07/05/17:44:14.323725,7271,1751712254,319604864,base_link,0.2630187511137561,0.11593804552798131,0.03210974112628598,0.0702476054430008,-0.014535050839185725,-0.07899649441242218
2025/07/05/17:44:14.482416,7272,1751712254,478617152,base_link,0.2544529777219574,0.09323664877528962,0.029121654371491973,0.1138821691274643,-0.019956378266215342,-0.12835074961185455
2025/07/05/17:44:14.604096,7273,1751712254,600623808,base_link,0.23594767807257216,0.09126807448521962,0.025275899604002748,-0.10570719838142395,0.014075412414967996,-0.14554931223392487
2025/07/05/17:44:14.703923,7274,1751712254,699629696,base_link,0.2336998474110431,0.08690251042634045,0.02472503327232833,-0.12603063881397247,0.016480457037687284,-0.13929274678230286
2025/07/05/17:44:14.782654,7275,1751712254,778636352,base_link,0.2303904745527981,0.08480126405333481,0.024629691391031598,-0.06444963067770004,0.010424315929412826,-0.1262570470571518
2025/07/05/17:44:14.882998,7276,1751712254,878642496,base_link,0.22598649903313267,0.08016472984609327,0.023399298484548796,0.013765170238912106,0.0011997851543128367,-0.10132189095020294
2025/07/05/17:44:15.003958,7277,1751712254,999649152,base_link,0.21995802204771803,0.07544478072493314,0.021004463385027757,0.07318834960460663,-0.0027075372636318302,-0.07744685560464859
2025/07/05/17:44:15.086487,7278,1751712255,78655296,base_link,0.214932276567712,0.07203312978988624,0.01675398631934117,0.09877452254295349,-0.0010214555077254848,-0.0625181719660759
2025/07/05/17:44:15.205842,7279,1751712255,200661184,base_link,0.2089012221897609,0.06536448702391005,0.01121841992482486,0.08140432834625244,0.00020732171833514492,-0.0551307238638401
2025/07/05/17:44:15.304084,7280,1751712255,299667328,base_link,0.20261193825231674,0.062159876835691935,0.006825681313811494,0.033210184425115585,-0.0018965867348015373,-0.05384653061628342
2025/07/05/17:44:15.384998,7281,1751712255,378673216,base_link,0.1983595814589232,0.06247351237735308,0.003925585024550045,-0.01633652113378048,-0.005425623618066318,-0.058021627366542816
2025/07/05/17:44:15.543821,7282,1751712255,539683200,base_link,0.18993138509375368,0.06350492968595454,0.0026102673182070504,-0.04149918630719185,-0.010305475443601617,-0.0668443813920021
2025/07/05/17:44:15.628612,7283,1751712255,622688320,base_link,0.18559808020067808,0.06372298720064418,0.0039022973736971,-0.03010755032300949,-0.008525302633643159,-0.0684802308678627
2025/07/05/17:44:15.722253,7284,1751712255,719696768,base_link,0.21715364653022207,0.06467043099179415,0.003393517022033086,-0.00767561886459589,-0.004321943502873191,-0.06801781803369522
2025/07/05/17:44:15.825761,7285,1751712255,822704960,base_link,0.24997032628631338,0.08889403680004562,0.007300639850914038,0.041997168213129044,-0.015742538496851928,-0.06401357054710388
2025/07/05/17:44:15.942637,7286,1751712255,938712640,base_link,0.268359856797417,0.09083160864921307,0.010770021373671945,0.10053285956382751,-0.010771456174552451,-0.0857352614402771
2025/07/05/17:44:16.026201,7287,1751712256,22718272,base_link,0.27569179670086597,0.09386227332729853,0.01843722316052939,0.054365064948797226,0.009079598821699607,-0.10025698691606522
2025/07/05/17:44:16.123812,7288,1751712256,119725440,base_link,0.276712669097394,0.09438853664459373,0.014828727604387398,-0.003989848308265209,0.01949219964444636,-0.11115141212940216
2025/07/05/17:44:16.225460,7289,1751712256,222732864,base_link,0.2910627931732193,0.09286283832966827,0.012877788154179393,-0.048315007239580154,0.016607845202088342,-0.11729436367750168
2025/07/05/17:44:16.322729,7290,1751712256,319740544,base_link,0.28648121618152095,0.09159218388965804,0.014272790057136279,-0.04679175093770027,0.0033113188110291815,-0.11707038432359695
2025/07/05/17:44:16.462973,7291,1751712256,458753600,base_link,0.2732434922847338,0.08331972258387994,0.008597268180872086,-0.020341377705335617,-0.006941952742636218,-0.11146456003189087
2025/07/05/17:44:16.584406,7292,1751712256,578759744,base_link,0.26022983414668005,0.07974729171074668,0.01154767297150706,0.01468178816139698,-8.501717820764656e-05,-0.08717116713523865
2025/07/05/17:44:16.663515,7293,1751712256,659767680,base_link,0.28932726329728753,0.07746407772304105,0.011727087189373226,0.029848434031009674,0.003215855918824663,-0.07924925535917282
2025/07/05/17:44:16.742851,7294,1751712256,738767680,base_link,0.32670261637289194,0.09584480817074394,0.01747857916706611,0.04761588200926781,-0.012920456938445577,-0.0715775117278099
2025/07/05/17:44:16.827892,7295,1751712256,822775872,base_link,0.35124224692296563,0.10628946042648883,0.020417505947232857,0.09317275881767273,-0.03166825696825982,-0.08359219133853912
2025/07/05/17:44:16.942887,7296,1751712256,938782528,base_link,0.41060632644901046,0.109546050171334,0.026323050581400477,0.0941850021481514,-0.022749055176973357,-0.10158771276473999
2025/07/05/17:44:17.062945,7297,1751712257,59794048,base_link,0.45960795223746753,0.12257018074958743,0.03748724616770579,0.03602222725749016,-0.011341985315084475,-0.14377856254577637
2025/07/05/17:44:17.163689,7298,1751712257,159801728,base_link,0.48628781101811547,0.13108422463862976,0.03056609381453671,-0.019782209768891335,-0.0002053785137832373,-0.1699191778898239
2025/07/05/17:44:17.226170,7299,1751712257,222801728,base_link,0.5048365890379884,0.12371262175649074,0.03912073791183221,-0.056842658668756485,0.004897180479019859,-0.17799969017505646
2025/07/05/17:44:17.323430,7300,1751712257,319808896,base_link,0.5252442779302187,0.1496972204917766,0.041804950154963744,-0.06605026125907898,0.008889781311154343,-0.18026621639728546
2025/07/05/17:44:17.523533,7301,1751712257,519819904,base_link,0.5570360656351975,0.15394939720782874,0.048669211878622304,-0.009956149384379387,0.017226254567503905,-0.18890932202339172
2025/07/05/17:44:17.625875,7302,1751712257,622826816,base_link,0.563400760825844,0.15623821787329475,0.05596447261793357,0.04671093821525574,0.004376676399260737,-0.1873587667942047
2025/07/05/17:44:17.723808,7303,1751712257,719833728,base_link,0.5596020705041251,0.16213274558152396,0.056039360755199996,0.04472065344452858,-0.0042669512331485965,-0.17887789011001587
2025/07/05/17:44:17.805799,7304,1751712257,800841920,base_link,0.5402211988433869,0.16355815553087008,0.05290720622400773,0.04577066749334335,-0.0026916984934359997,-0.17013126611709595
2025/07/05/17:44:17.904275,7305,1751712257,900847808,base_link,0.5310718660678506,0.15545932316062883,0.05570352514893293,0.03428390622138977,0.002883458975702506,-0.150180384516716
2025/07/05/17:44:18.027426,7306,1751712258,22852928,base_link,0.515085564234688,0.1470465310435171,0.052529554300954406,0.024472087621688843,0.008886137977242454,-0.12246869504451752
2025/07/05/17:44:18.103870,7307,1751712258,99858048,base_link,0.49814979538578297,0.14889981045006975,0.051053311476088284,0.020891275256872177,0.010006401687860475,-0.1094367578625679
2025/07/05/17:44:18.204548,7308,1751712258,200863936,base_link,0.4788149778383807,0.1513598219588203,0.04746288164764449,0.015935219824314117,0.006689633242785918,-0.1038074940443039
2025/07/05/17:44:18.284147,7309,1751712258,279870592,base_link,0.46636247550128174,0.15738827685816037,0.04701757945163533,0.009882957674562931,0.0010269812773913017,-0.10443026572465897
2025/07/05/17:44:18.444246,7310,1751712258,438876224,base_link,0.443598711292266,0.16529991639796787,0.0458398728447158,0.0024106204509735107,-0.005135518033057464,-0.10838663578033447
2025/07/05/17:44:18.584251,7311,1751712258,578889792,base_link,0.4236912695411438,0.1717270346339805,0.04334362258364453,0.008873764425516129,-0.007514640688896193,-0.11625777184963226
2025/07/05/17:44:18.642127,7312,1751712258,639889792,base_link,0.4158179017804542,0.1730947463281304,0.041624794366890316,0.01409680861979723,-0.00827892124652864,-0.11446765065193176
2025/07/05/17:44:18.742909,7313,1751712258,738897984,base_link,0.4058222777362238,0.1647335184449267,0.04125166364990253,0.01579168625175953,-0.012064400129020228,-0.1088414192199707
2025/07/05/17:44:18.825415,7314,1751712258,822904384,base_link,0.39775062669059846,0.15600821434404386,0.03948694438173862,0.016447454690933228,-0.014054190367460263,-0.09838949143886566
2025/07/05/17:44:18.923971,7315,1751712258,919910272,base_link,0.3858483883670259,0.14763717710671387,0.0381521075721026,0.01564398780465126,-0.013103997334837924,-0.08228744566440582
2025/07/05/17:44:19.025424,7316,1751712259,21916672,base_link,0.37529138275085805,0.14003003711703427,0.037957602279602945,0.028720539063215256,-0.0017641021404415443,-0.06048110872507095
2025/07/05/17:44:19.103440,7317,1751712259,100922048,base_link,0.4008082318840753,0.1360187021577906,0.03715342440616007,0.033125340938568115,0.008506570011377328,-0.05002091825008392
2025/07/05/17:44:19.205435,7318,1751712259,200930752,base_link,0.428611589376151,0.15055902116132822,0.04167836675411449,0.03545890003442764,-0.0024040341377258357,-0.04441097006201744
2025/07/05/17:44:19.304027,7319,1751712259,300937920,base_link,0.4079194966769845,0.15878164021513938,0.055678826971069,0.05781220644712448,-0.0024077873677015404,-0.08045698702335358
2025/07/05/17:44:19.462571,7320,1751712259,459950464,base_link,0.3993163573967708,0.14980511172366942,0.05342958012801968,0.014037929475307465,0.017645267769694314,-0.11645426601171494
2025/07/05/17:44:19.606158,7321,1751712259,600957888,base_link,0.39011956486726496,0.15503708039202005,0.04919340761274668,-0.07963204383850098,0.00832176581025122,-0.1296754777431488
2025/07/05/17:44:19.683949,7322,1751712259,678963520,base_link,0.38290447336123207,0.1546554296256848,0.04485058323077562,-0.04320628196001053,-0.002338615013286486,-0.1206779032945633
2025/07/05/17:44:19.804134,7323,1751712259,800968640,base_link,0.3742595347647112,0.14496405765735548,0.038384188311383294,0.031243683770298958,-0.015594108030200017,-0.09835813194513321
2025/07/05/17:44:19.882772,7324,1751712259,878974272,base_link,0.36420934491370494,0.13684214568581313,0.0359913121351139,0.08894114196300507,-0.02293340675532819,-0.07114183157682419
2025/07/05/17:44:20.004991,7325,1751712260,982976,base_link,0.34698762983654946,0.12249672407239166,0.03507638923832096,0.10627198219299316,-0.0148982871323824,-0.05301788076758385
2025/07/05/17:44:20.123933,7326,1751712260,119991936,base_link,0.3363281473535721,0.11205322658399867,0.03828905403429929,0.05990203469991684,0.0027576270513236458,-0.05266191065311432
2025/07/05/17:44:20.226011,7327,1751712260,223000384,base_link,0.32780161757047205,0.11145559332549754,0.04250519289432659,-0.017206700518727303,0.018760284408926957,-0.06403234601020813
2025/07/05/17:44:20.304273,7328,1751712260,301009088,base_link,0.3252013603079407,0.11376735217320554,0.04210214649309296,-0.07587024569511414,0.023628078401088704,-0.08124074339866638
2025/07/05/17:44:20.483580,7329,1751712260,479022656,base_link,0.33374523213011026,0.1252754257593926,0.03857891550202088,-0.09236489236354828,0.008996941149234761,-0.08762937784194946
