time,.x,.y,.z
2025/07/05/17:44:13.563900,-58.17900140030163,-21.078899999959155,0.0
2025/07/05/17:44:13.665251,-58.19033349962886,-21.067799999928027,0.0
2025/07/05/17:44:13.764197,-58.201665600566486,-21.056699999995487,0.0
2025/07/05/17:44:13.864403,-58.22432979922095,-21.03449999993323,0.0
2025/07/05/17:44:13.984283,-58.235661900158576,-21.023399999902104,0.0
2025/07/05/17:44:14.064300,-58.24699399948581,-21.012299999969564,0.0
2025/07/05/17:44:14.163832,-58.269658199750666,-20.990099999907308,0.0
2025/07/05/17:44:14.264650,-58.2809902990779,-20.978999999974768,0.0
2025/07/05/17:44:14.365072,-58.303654499342755,-20.956799999912512,0.0
2025/07/05/17:44:14.564124,-58.337650800545234,-20.90129999995405,0.0
2025/07/05/17:44:14.644737,-58.34898289987247,-20.89019999992292,0.0
2025/07/05/17:44:14.743917,-58.3603149991997,-20.867999999959252,0.0
2025/07/05/17:44:14.844177,-58.371647100137324,-20.845799999995585,0.0
2025/07/05/17:44:14.943862,-58.39431130040218,-20.82359999993333,0.0
2025/07/05/17:44:15.044127,-58.40564339972941,-20.80139999996966,0.0
2025/07/05/17:44:15.143198,-58.41697549905665,-20.779199999907405,0.0
2025/07/05/17:44:15.244543,-58.42830759999427,-20.768099999974865,0.0
2025/07/05/17:44:15.345507,-58.4396396993215,-20.74589999991261,0.0
2025/07/05/17:44:15.505531,-58.450971800259126,-20.712599999917813,0.0
2025/07/05/17:44:15.606879,-58.46230389958636,-20.690399999954145,0.0
2025/07/05/17:44:15.683990,-58.47363600052398,-20.679299999923018,0.0
2025/07/05/17:44:15.784648,-58.49630019917845,-20.65709999995935,0.0
2025/07/05/17:44:15.904952,-58.50763230011607,-20.623799999964554,0.0
2025/07/05/17:44:16.005334,-58.53029650038093,-20.601599999902298,0.0
2025/07/05/17:44:16.085433,-58.54162859970816,-20.57939999993863,0.0
2025/07/05/17:44:16.184440,-58.552960700645784,-20.546099999943834,0.0
2025/07/05/17:44:16.263638,-58.56429279997302,-20.523899999980166,0.0
2025/07/05/17:44:16.364798,-58.57562489930025,-20.50169999991791,0.0
2025/07/05/17:44:16.545699,-58.586957000237874,-20.446199999959447,0.0
2025/07/05/17:44:16.627225,-58.59828909956511,-20.42399999999578,0.0
2025/07/05/17:44:16.705925,-58.60962120050273,-20.401799999933523,0.0
2025/07/05/17:44:16.806420,-58.620953299829964,-20.368499999938727,0.0
2025/07/05/17:44:16.886883,-58.6322853991572,-20.33519999994393,0.0
2025/07/05/17:44:17.028268,-58.64361750009482,-20.26859999995434,0.0
2025/07/05/17:44:17.124650,-58.65494959942205,-20.224199999928416,0.0
2025/07/05/17:44:17.207446,-58.666281700359676,-20.179799999902492,0.0
2025/07/05/17:44:17.286500,-58.67761379968691,-20.135399999975157,0.0
2025/07/05/17:44:17.426903,-58.700277999951766,-20.04659999992331,0.0
2025/07/05/17:44:17.584280,-58.72294220021662,-19.95779999997005,0.0
2025/07/05/17:44:17.664165,-58.734274299543856,-19.902299999912998,0.0
2025/07/05/17:44:17.763789,-58.75693849980871,-19.846799999954534,0.0
2025/07/05/17:44:17.864881,-58.768270599135946,-19.780199999964942,0.0
2025/07/05/17:44:17.985425,-58.77960270007357,-19.702499999944223,0.0
2025/07/05/17:44:18.065006,-58.7909347994008,-19.669199999949427,0.0
2025/07/05/17:44:18.164852,-58.802266900338424,-19.624799999923503,0.0
2025/07/05/17:44:18.243788,-58.81359899966566,-19.580399999996168,0.0
2025/07/05/17:44:18.343774,-58.836263199930514,-19.535999999970244,0.0
2025/07/05/17:44:18.504848,-58.85892740019537,-19.469399999980652,0.0
2025/07/05/17:44:18.631549,-58.870259499522604,-19.4138999999236,0.0
2025/07/05/17:44:18.705903,-58.870259499522604,-19.380599999928805,0.0
2025/07/05/17:44:18.788014,-58.870259499522604,-19.34729999993401,0.0
2025/07/05/17:44:18.864622,-58.881591600460226,-19.313999999939213,0.0
2025/07/05/17:44:18.983451,-58.881591600460226,-19.26959999991329,0.0
2025/07/05/17:44:19.064811,-58.881591600460226,-19.236299999918494,0.0
2025/07/05/17:44:19.164554,-58.881591600460226,-19.191899999991158,0.0
2025/07/05/17:44:19.265151,-58.881591600460226,-19.147499999965234,0.0
2025/07/05/17:44:19.364813,-58.881591600460226,-19.10309999993931,0.0
2025/07/05/17:44:19.564581,-58.881591600460226,-19.02539999991859,0.0
2025/07/05/17:44:19.643805,-58.881591600460226,-18.992099999923795,0.0
2025/07/05/17:44:19.743590,-58.881591600460226,-18.94769999999646,0.0
2025/07/05/17:44:19.844485,-58.881591600460226,-18.914399999903075,0.0
2025/07/05/17:44:19.964479,-58.870259499522604,-18.86999999997574,0.0
2025/07/05/17:44:20.064277,-58.870259499522604,-18.836699999980944,0.0
2025/07/05/17:44:20.164430,-58.85892740019537,-18.803399999986148,0.0
2025/07/05/17:44:20.265210,-58.85892740019537,-18.770099999991352,0.0
2025/07/05/17:44:20.364624,-58.85892740019537,-18.736799999996556,0.0
2025/07/05/17:44:20.564226,-58.84759529925775,-18.670199999908377,0.0
2025/07/05/17:44:20.664256,-58.84759529925775,-18.63689999991358,0.0
2025/07/05/17:44:20.764315,-58.84759529925775,-18.603599999918785,0.0
2025/07/05/17:44:20.863649,-58.836263199930514,-18.581399999955117,0.0
2025/07/05/17:44:20.985763,-58.82493110060328,-18.536999999929193,0.0
2025/07/05/17:44:21.064418,-58.82493110060328,-18.514799999965526,0.0
2025/07/05/17:44:21.163998,-58.81359899966566,-18.48149999997073,0.0
2025/07/05/17:44:21.264755,-58.81359899966566,-18.459299999908474,0.0
2025/07/05/17:44:21.363977,-58.802266900338424,-18.425999999913678,0.0
