time,.server_id,.seq_num,.type,.markers,.poses,.erases
2025/07/05/17:44:13.700876,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:14.222481,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:14.728279,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:15.205209,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:15.717151,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:16.229213,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:16.709563,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:17.220578,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:17.700561,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:18.213445,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:18.725166,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:19.206975,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:19.718190,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:20.229648,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:20.708843,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:21.221422,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:21.703385,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:22.214101,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:22.724658,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:23.204954,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:23.717376,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:24.228514,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:24.709006,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:25.220746,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:25.701008,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:26.215809,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:26.725328,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:27.205925,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:27.717234,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:28.229574,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:28.708284,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:29.223531,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:29.709606,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:30.213701,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:30.725962,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:31.302431,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.997708,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.997751,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.997785,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.997816,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.997831,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.997858,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.997873,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.997890,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.997904,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.997916,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.997927,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.997967,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.997986,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.998002,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.998012,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.998032,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.998049,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.998066,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.998078,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.998094,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.998106,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.998115,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.998127,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.998141,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.998215,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.998224,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:44:56.998237,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.982392,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.982406,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.982471,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.982601,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.982626,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.982637,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.982651,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.982661,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983422,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983455,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983489,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983517,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983592,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983607,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983638,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983664,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983679,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983691,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983772,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983810,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983836,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983853,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983865,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983873,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983886,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983902,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983918,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983929,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983943,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983958,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.983980,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.984009,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.984020,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.984032,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.984040,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.984050,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.984060,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.984068,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.984079,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.984092,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.984104,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.984124,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.984135,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.984148,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.984158,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.984168,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.984179,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:10.984194,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:11.137355,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:11.137372,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:11.137376,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:11.137481,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:11.242374,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:11.720855,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:12.234884,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:12.724332,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:13.221083,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:13.703399,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:14.215274,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:14.730429,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:15.207255,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:15.746427,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:16.251812,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:16.711498,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:17.222446,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:17.702854,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:18.215472,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:18.725252,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:19.216219,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:19.720504,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:20.415610,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:20.922602,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:21.256952,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:21.704471,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:22.249982,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:22.735865,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:23.272045,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:23.777879,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:24.231620,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:24.709223,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:25.223508,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:25.701503,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:26.215848,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:26.724881,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:27.207741,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:27.723969,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:28.229543,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:28.715629,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:29.223695,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:29.704365,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:30.217867,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:30.778743,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:31.213948,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:31.725691,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:32.267870,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:32.712615,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:33.224903,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:33.701874,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:34.217176,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:34.733649,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:35.207621,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:35.723920,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:36.229516,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:36.710215,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:37.239929,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:37.707960,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:38.213490,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:39.279350,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:40.268930,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:40.268948,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:40.268954,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:41.032069,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:42.308314,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:42.308336,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:42.308376,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:42.724850,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:43.207168,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:43.720443,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:44.229413,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:44.716507,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:45.221771,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:45.710029,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:46.225423,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:45:49.352692,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903190,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903202,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903211,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903219,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.903252,/waypoint_nav_plugin,7,0,[],[],[]
