time,.data
2025/07/05/17:47:55.656161,-3.573
2025/07/05/17:47:55.757621,-3.579
2025/07/05/17:47:55.854623,-3.585
2025/07/05/17:47:55.974452,-3.594
2025/07/05/17:47:56.074998,-3.602
2025/07/05/17:47:56.175026,-3.608
2025/07/05/17:47:56.274965,-3.613
2025/07/05/17:47:56.416569,-3.616
2025/07/05/17:47:56.574987,-3.621
2025/07/05/17:47:56.675090,-3.623
2025/07/05/17:47:56.754919,-3.625
2025/07/05/17:47:56.854676,-3.627
2025/07/05/17:47:56.974942,-3.629
2025/07/05/17:47:57.054917,-3.63
2025/07/05/17:47:57.134704,-3.63
2025/07/05/17:47:57.237548,-3.629
2025/07/05/17:47:57.315553,-3.629
2025/07/05/17:47:57.437740,-3.631
2025/07/05/17:47:57.574882,-3.63
2025/07/05/17:47:57.654904,-3.626
2025/07/05/17:47:57.755016,-3.618
2025/07/05/17:47:57.855107,-3.611
2025/07/05/17:47:57.996092,-3.601
2025/07/05/17:47:58.075264,-3.598
2025/07/05/17:47:58.154288,-3.593
2025/07/05/17:47:58.254339,-3.588
2025/07/05/17:47:58.354759,-3.585
2025/07/05/17:47:58.534133,-3.578
2025/07/05/17:47:58.614774,-3.576
2025/07/05/17:47:58.715573,-3.574
2025/07/05/17:47:58.815338,-3.572
2025/07/05/17:47:58.915678,-3.577
2025/07/05/17:47:59.034845,-3.58
2025/07/05/17:47:59.134847,-3.583
2025/07/05/17:47:59.254828,-3.585
2025/07/05/17:47:59.354512,-3.584
2025/07/05/17:47:59.554768,-3.584
2025/07/05/17:47:59.654566,-3.587
2025/07/05/17:47:59.754971,-3.589
2025/07/05/17:47:59.854950,-3.593
2025/07/05/17:47:59.975180,-3.6
2025/07/05/17:48:00.054517,-3.607
2025/07/05/17:48:00.154893,-3.616
2025/07/05/17:48:00.234461,-3.622
2025/07/05/17:48:00.334135,-3.629
2025/07/05/17:48:00.496063,-3.639
2025/07/05/17:48:00.618196,-3.645
2025/07/05/17:48:00.695289,-3.65
2025/07/05/17:48:00.775398,-3.654
2025/07/05/17:48:00.854125,-3.658
2025/07/05/17:48:00.955929,-3.663
2025/07/05/17:48:01.054833,-3.668
2025/07/05/17:48:01.154064,-3.67
2025/07/05/17:48:01.254829,-3.672
2025/07/05/17:48:01.354738,-3.674
2025/07/05/17:48:01.554621,-3.675
2025/07/05/17:48:01.654918,-3.674
2025/07/05/17:48:01.754291,-3.672
2025/07/05/17:48:01.854337,-3.673
2025/07/05/17:48:01.974916,-3.676
2025/07/05/17:48:02.055246,-3.676
2025/07/05/17:48:02.154461,-3.677
2025/07/05/17:48:02.254826,-3.678
2025/07/05/17:48:02.354581,-3.681
2025/07/05/17:48:02.555048,-3.681
2025/07/05/17:48:02.654666,-3.68
2025/07/05/17:48:02.754501,-3.678
2025/07/05/17:48:02.854778,-3.677
2025/07/05/17:48:02.974742,-3.677
2025/07/05/17:48:03.054069,-3.676
2025/07/05/17:48:03.155018,-3.674
2025/07/05/17:48:03.254617,-3.671
2025/07/05/17:48:03.354347,-3.668
2025/07/05/17:48:03.534295,-3.664
2025/07/05/17:48:03.637947,-3.663
2025/07/05/17:48:03.734957,-3.663
2025/07/05/17:48:03.834548,-3.662
2025/07/05/17:48:03.954133,-3.659
2025/07/05/17:48:04.054839,-3.656
2025/07/05/17:48:04.154244,-3.654
2025/07/05/17:48:04.254273,-3.65
2025/07/05/17:48:04.354585,-3.647
2025/07/05/17:48:04.555961,-3.645
2025/07/05/17:48:04.654835,-3.644
2025/07/05/17:48:04.754244,-3.644
2025/07/05/17:48:04.854678,-3.645
2025/07/05/17:48:04.974979,-3.642
2025/07/05/17:48:05.053749,-3.64
2025/07/05/17:48:05.154094,-3.638
2025/07/05/17:48:05.255290,-3.635
2025/07/05/17:48:05.354470,-3.632
2025/07/05/17:48:05.554743,-3.624
2025/07/05/17:48:05.654325,-3.62
2025/07/05/17:48:05.755143,-3.616
2025/07/05/17:48:05.854716,-3.613
2025/07/05/17:48:05.996138,-3.609
2025/07/05/17:48:06.074891,-3.605
2025/07/05/17:48:06.174860,-3.6
2025/07/05/17:48:06.254071,-3.598
2025/07/05/17:48:06.354259,-3.596
2025/07/05/17:48:06.534559,-3.596
2025/07/05/17:48:06.634000,-3.596
2025/07/05/17:48:06.714752,-3.594
2025/07/05/17:48:06.819000,-3.591
2025/07/05/17:48:06.895306,-3.589
2025/07/05/17:48:06.998287,-3.587
2025/07/05/17:48:07.075058,-3.587
2025/07/05/17:48:07.174798,-3.588
2025/07/05/17:48:07.254314,-3.588
2025/07/05/17:48:07.354613,-3.588
2025/07/05/17:48:07.534331,-3.591
2025/07/05/17:48:07.636961,-3.591
2025/07/05/17:48:07.735101,-3.589
2025/07/05/17:48:07.835028,-3.587
2025/07/05/17:48:07.954781,-3.586
2025/07/05/17:48:08.057715,-3.589
2025/07/05/17:48:08.153760,-3.594
2025/07/05/17:48:08.254646,-3.595
2025/07/05/17:48:08.354579,-3.593
2025/07/05/17:48:08.555069,-3.59
2025/07/05/17:48:08.654485,-3.59
2025/07/05/17:48:08.753951,-3.591
2025/07/05/17:48:08.833938,-3.59
2025/07/05/17:48:08.934494,-3.589
2025/07/05/17:48:09.034253,-3.587
2025/07/05/17:48:09.134309,-3.585
2025/07/05/17:48:09.233807,-3.583
2025/07/05/17:48:09.334270,-3.584
2025/07/05/17:48:09.495296,-3.584
2025/07/05/17:48:09.595935,-3.584
2025/07/05/17:48:09.675355,-3.581
2025/07/05/17:48:09.776208,-3.578
2025/07/05/17:48:09.855392,-3.58
2025/07/05/17:48:09.954927,-3.584
2025/07/05/17:48:10.054840,-3.586
2025/07/05/17:48:10.154069,-3.587
2025/07/05/17:48:10.254122,-3.585
2025/07/05/17:48:10.354901,-3.583
2025/07/05/17:48:10.514922,-3.582
2025/07/05/17:48:10.617421,-3.584
2025/07/05/17:48:10.714196,-3.584
2025/07/05/17:48:10.817283,-3.584
2025/07/05/17:48:10.895491,-3.585
2025/07/05/17:48:11.017714,-3.583
2025/07/05/17:48:11.094652,-3.585
2025/07/05/17:48:11.195885,-3.588
2025/07/05/17:48:11.274843,-3.593
2025/07/05/17:48:11.356428,-3.594
2025/07/05/17:48:11.554685,-3.594
2025/07/05/17:48:11.633950,-3.593
2025/07/05/17:48:11.734050,-3.592
2025/07/05/17:48:11.817145,-3.59
2025/07/05/17:48:11.916639,-3.586
2025/07/05/17:48:12.018704,-3.583
2025/07/05/17:48:12.094766,-3.579
2025/07/05/17:48:12.196037,-3.575
2025/07/05/17:48:12.275341,-3.57
2025/07/05/17:48:12.374064,-3.566
2025/07/05/17:48:12.533920,-3.557
2025/07/05/17:48:12.635751,-3.553
2025/07/05/17:48:12.714631,-3.551
2025/07/05/17:48:12.817811,-3.547
2025/07/05/17:48:12.894856,-3.544
2025/07/05/17:48:13.017249,-3.538
2025/07/05/17:48:13.095123,-3.532
2025/07/05/17:48:13.175130,-3.525
2025/07/05/17:48:13.254357,-3.516
2025/07/05/17:48:13.354657,-3.506
2025/07/05/17:48:13.553730,-3.484
2025/07/05/17:48:13.654833,-3.476
2025/07/05/17:48:13.754098,-3.471
2025/07/05/17:48:13.853805,-3.464
2025/07/05/17:48:13.954998,-3.456
2025/07/05/17:48:14.054235,-3.447
2025/07/05/17:48:14.154316,-3.438
2025/07/05/17:48:14.234020,-3.433
2025/07/05/17:48:14.334920,-3.427
2025/07/05/17:48:14.475003,-3.423
2025/07/05/17:48:14.595764,-3.416
2025/07/05/17:48:14.674677,-3.415
2025/07/05/17:48:14.775104,-3.416
2025/07/05/17:48:14.854818,-3.417
2025/07/05/17:48:14.974967,-3.418
2025/07/05/17:48:15.053998,-3.417
2025/07/05/17:48:15.153991,-3.417
2025/07/05/17:48:15.254226,-3.415
2025/07/05/17:48:15.354136,-3.413
2025/07/05/17:48:15.534678,-3.404
2025/07/05/17:48:15.634094,-3.394
2025/07/05/17:48:15.714633,-3.387
2025/07/05/17:48:15.817483,-3.38
2025/07/05/17:48:15.894984,-3.373
2025/07/05/17:48:15.995755,-3.365
2025/07/05/17:48:16.074975,-3.354
2025/07/05/17:48:16.173937,-3.343
2025/07/05/17:48:16.254101,-3.336
2025/07/05/17:48:16.354990,-3.328
2025/07/05/17:48:16.495707,-3.319
2025/07/05/17:48:16.595468,-3.31
2025/07/05/17:48:16.674640,-3.299
2025/07/05/17:48:16.774136,-3.29
2025/07/05/17:48:16.854000,-3.286
2025/07/05/17:48:16.974325,-3.281
2025/07/05/17:48:17.074888,-3.276
2025/07/05/17:48:17.174207,-3.274
2025/07/05/17:48:17.253987,-3.273
2025/07/05/17:48:17.334102,-3.274
2025/07/05/17:48:17.474672,-3.281
2025/07/05/17:48:17.595593,-3.286
2025/07/05/17:48:17.674242,-3.285
2025/07/05/17:48:17.754021,-3.284
2025/07/05/17:48:17.854851,-3.281
2025/07/05/17:48:17.973918,-3.282
2025/07/05/17:48:18.053870,-3.283
