time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.fluid_pressure,.variance
2025/07/05/17:47:55.674664,9374,1751712475,681147008,base_link,0.0,0.0
2025/07/05/17:47:55.775943,9375,1751712475,780147008,base_link,0.0,0.0
2025/07/05/17:47:55.874311,9376,1751712475,881147008,base_link,0.0,0.0
2025/07/05/17:47:55.995272,9377,1751712476,1147008,base_link,0.0,0.0
2025/07/05/17:47:56.096219,9378,1751712476,102147008,base_link,0.0,0.0
2025/07/05/17:47:56.195646,9379,1751712476,202147008,base_link,0.0,0.0
2025/07/05/17:47:56.315296,9380,1751712476,321147008,base_link,0.0,0.0
2025/07/05/17:47:56.474990,9381,1751712476,481147008,base_link,0.0,0.0
2025/07/05/17:47:56.595775,9382,1751712476,602147008,base_link,0.0,0.0
2025/07/05/17:47:56.695731,9383,1751712476,701147008,base_link,0.0,0.0
2025/07/05/17:47:56.774351,9384,1751712476,780147008,base_link,0.0,0.0
2025/07/05/17:47:56.874659,9385,1751712476,880147008,base_link,0.0,0.0
2025/07/05/17:47:56.995559,9386,1751712477,1147008,base_link,0.0,0.0
2025/07/05/17:47:57.074630,9387,1751712477,80147008,base_link,0.0,0.0
2025/07/05/17:47:57.154415,9388,1751712477,160147008,base_link,0.0,0.0
2025/07/05/17:47:57.254606,9389,1751712477,260147008,base_link,0.0,0.0
2025/07/05/17:47:57.334611,9390,1751712477,340147008,base_link,0.0,0.0
2025/07/05/17:47:57.496622,9391,1751712477,502147008,base_link,0.0,0.0
2025/07/05/17:47:57.596410,9392,1751712477,602147008,base_link,0.0,0.0
2025/07/05/17:47:57.675120,9393,1751712477,681147008,base_link,0.0,0.0
2025/07/05/17:47:57.796493,9394,1751712477,802147008,base_link,0.0,0.0
2025/07/05/17:47:57.895557,9395,1751712477,901147008,base_link,0.0,0.0
2025/07/05/17:47:57.996506,9396,1751712478,2147008,base_link,0.0,0.0
2025/07/05/17:47:58.094879,9397,1751712478,101147008,base_link,0.0,0.0
2025/07/05/17:47:58.174328,9398,1751712478,181147008,base_link,0.0,0.0
2025/07/05/17:47:58.274182,9399,1751712478,280147008,base_link,0.0,0.0
2025/07/05/17:47:58.395540,9400,1751712478,402147008,base_link,0.0,0.0
2025/07/05/17:47:58.554334,9401,1751712478,560147008,base_link,0.0,0.0
2025/07/05/17:47:58.637392,9402,1751712478,643147008,base_link,0.0,0.0
2025/07/05/17:47:58.734182,9403,1751712478,740147008,base_link,0.0,0.0
2025/07/05/17:47:58.837931,9404,1751712478,843147008,base_link,0.0,0.0
2025/07/05/17:47:58.934929,9405,1751712478,940147008,base_link,0.0,0.0
2025/07/05/17:47:59.054629,9406,1751712479,60147008,base_link,0.0,0.0
2025/07/05/17:47:59.154899,9407,1751712479,160147008,base_link,0.0,0.0
2025/07/05/17:47:59.274820,9408,1751712479,280147008,base_link,0.0,0.0
2025/07/05/17:47:59.415831,9409,1751712479,422147008,base_link,0.0,0.0
2025/07/05/17:47:59.574781,9410,1751712479,581147008,base_link,0.0,0.0
2025/07/05/17:47:59.674681,9411,1751712479,681147008,base_link,0.0,0.0
2025/07/05/17:47:59.774379,9412,1751712479,780147008,base_link,0.0,0.0
2025/07/05/17:47:59.874932,9413,1751712479,881147008,base_link,0.0,0.0
2025/07/05/17:47:59.996338,9414,1751712480,2147008,base_link,0.0,0.0
2025/07/05/17:48:00.074873,9415,1751712480,80147008,base_link,0.0,0.0
2025/07/05/17:48:00.174557,9416,1751712480,180147008,base_link,0.0,0.0
2025/07/05/17:48:00.256492,9417,1751712480,260147008,base_link,0.0,0.0
2025/07/05/17:48:00.355123,9418,1751712480,360147008,base_link,0.0,0.0
2025/07/05/17:48:00.534596,9419,1751712480,540147008,base_link,0.0,0.0
2025/07/05/17:48:00.634306,9420,1751712480,640147008,base_link,0.0,0.0
2025/07/05/17:48:00.715412,9421,1751712480,721147008,base_link,0.0,0.0
2025/07/05/17:48:00.796259,9422,1751712480,802147008,base_link,0.0,0.0
2025/07/05/17:48:00.895880,9423,1751712480,902147008,base_link,0.0,0.0
2025/07/05/17:48:00.974177,9424,1751712480,981147008,base_link,0.0,0.0
2025/07/05/17:48:01.074311,9425,1751712481,81147008,base_link,0.0,0.0
2025/07/05/17:48:01.174875,9426,1751712481,181147008,base_link,0.0,0.0
2025/07/05/17:48:01.274503,9427,1751712481,281147008,base_link,0.0,0.0
2025/07/05/17:48:01.396369,9428,1751712481,402147008,base_link,0.0,0.0
2025/07/05/17:48:01.574712,9429,1751712481,580147008,base_link,0.0,0.0
2025/07/05/17:48:01.675490,9430,1751712481,682147008,base_link,0.0,0.0
2025/07/05/17:48:01.774654,9431,1751712481,781147008,base_link,0.0,0.0
2025/07/05/17:48:01.874845,9432,1751712481,880147008,base_link,0.0,0.0
2025/07/05/17:48:01.996930,9433,1751712482,2147008,base_link,0.0,0.0
2025/07/05/17:48:02.075046,9434,1751712482,81147008,base_link,0.0,0.0
2025/07/05/17:48:02.174668,9435,1751712482,180147008,base_link,0.0,0.0
2025/07/05/17:48:02.274592,9436,1751712482,281147008,base_link,0.0,0.0
2025/07/05/17:48:02.418233,9437,1751712482,424147008,base_link,0.0,0.0
2025/07/05/17:48:02.574437,9438,1751712482,581147008,base_link,0.0,0.0
2025/07/05/17:48:02.695487,9439,1751712482,701147008,base_link,0.0,0.0
2025/07/05/17:48:02.774477,9440,1751712482,780147008,base_link,0.0,0.0
2025/07/05/17:48:02.875496,9441,1751712482,881147008,base_link,0.0,0.0
2025/07/05/17:48:02.996447,9442,1751712483,2147008,base_link,0.0,0.0
2025/07/05/17:48:03.075049,9443,1751712483,80147008,base_link,0.0,0.0
2025/07/05/17:48:03.174231,9444,1751712483,181147008,base_link,0.0,0.0
2025/07/05/17:48:03.274848,9445,1751712483,281147008,base_link,0.0,0.0
2025/07/05/17:48:03.374872,9446,1751712483,380147008,base_link,0.0,0.0
2025/07/05/17:48:03.554580,9447,1751712483,560147008,base_link,0.0,0.0
2025/07/05/17:48:03.654738,9448,1751712483,660147008,base_link,0.0,0.0
2025/07/05/17:48:03.754924,9449,1751712483,761147008,base_link,0.0,0.0
2025/07/05/17:48:03.854197,9450,1751712483,860147008,base_link,0.0,0.0
2025/07/05/17:48:03.975080,9451,1751712483,981147008,base_link,0.0,0.0
2025/07/05/17:48:04.097448,9452,1751712484,101147008,base_link,0.0,0.0
2025/07/05/17:48:04.176643,9453,1751712484,181147008,base_link,0.0,0.0
2025/07/05/17:48:04.275309,9454,1751712484,280147008,base_link,0.0,0.0
2025/07/05/17:48:04.396193,9455,1751712484,402147008,base_link,0.0,0.0
2025/07/05/17:48:04.574137,9456,1751712484,580147008,base_link,0.0,0.0
2025/07/05/17:48:04.695877,9457,1751712484,701147008,base_link,0.0,0.0
2025/07/05/17:48:04.778840,9458,1751712484,780147008,base_link,0.0,0.0
2025/07/05/17:48:04.875968,9459,1751712484,881147008,base_link,0.0,0.0
2025/07/05/17:48:04.995834,9460,1751712485,2147008,base_link,0.0,0.0
2025/07/05/17:48:05.095587,9461,1751712485,101147008,base_link,0.0,0.0
2025/07/05/17:48:05.174289,9462,1751712485,180147008,base_link,0.0,0.0
2025/07/05/17:48:05.274485,9463,1751712485,280147008,base_link,0.0,0.0
2025/07/05/17:48:05.418252,9464,1751712485,424147008,base_link,0.0,0.0
2025/07/05/17:48:05.574212,9465,1751712485,581147008,base_link,0.0,0.0
2025/07/05/17:48:05.674172,9466,1751712485,681147008,base_link,0.0,0.0
2025/07/05/17:48:05.774065,9467,1751712485,781147008,base_link,0.0,0.0
2025/07/05/17:48:05.895087,9468,1751712485,901147008,base_link,0.0,0.0
2025/07/05/17:48:06.017808,9469,1751712486,23147008,base_link,0.0,0.0
2025/07/05/17:48:06.095140,9470,1751712486,102147008,base_link,0.0,0.0
2025/07/05/17:48:06.196106,9471,1751712486,202147008,base_link,0.0,0.0
2025/07/05/17:48:06.274642,9472,1751712486,281147008,base_link,0.0,0.0
2025/07/05/17:48:06.374408,9473,1751712486,380147008,base_link,0.0,0.0
2025/07/05/17:48:06.553933,9474,1751712486,560147008,base_link,0.0,0.0
2025/07/05/17:48:06.653986,9475,1751712486,660147008,base_link,0.0,0.0
2025/07/05/17:48:06.733945,9476,1751712486,740147008,base_link,0.0,0.0
2025/07/05/17:48:06.819084,9477,1751712486,824147008,base_link,0.0,0.0
2025/07/05/17:48:06.915291,9478,1751712486,921147008,base_link,0.0,0.0
2025/07/05/17:48:06.998471,9479,1751712487,2147008,base_link,0.0,0.0
2025/07/05/17:48:07.095165,9480,1751712487,101147008,base_link,0.0,0.0
2025/07/05/17:48:07.196122,9481,1751712487,202147008,base_link,0.0,0.0
2025/07/05/17:48:07.274300,9482,1751712487,280147008,base_link,0.0,0.0
2025/07/05/17:48:07.396141,9483,1751712487,402147008,base_link,0.0,0.0
2025/07/05/17:48:07.554366,9484,1751712487,560147008,base_link,0.0,0.0
2025/07/05/17:48:07.655041,9485,1751712487,660147008,base_link,0.0,0.0
2025/07/05/17:48:07.753877,9486,1751712487,760147008,base_link,0.0,0.0
2025/07/05/17:48:07.854169,9487,1751712487,860147008,base_link,0.0,0.0
2025/07/05/17:48:07.995918,9488,1751712488,1147008,base_link,0.0,0.0
2025/07/05/17:48:08.094818,9489,1751712488,101147008,base_link,0.0,0.0
2025/07/05/17:48:08.175388,9490,1751712488,180147008,base_link,0.0,0.0
2025/07/05/17:48:08.275800,9491,1751712488,281147008,base_link,0.0,0.0
2025/07/05/17:48:08.418336,9492,1751712488,424147008,base_link,0.0,0.0
2025/07/05/17:48:08.574611,9493,1751712488,581147008,base_link,0.0,0.0
2025/07/05/17:48:08.695265,9494,1751712488,701147008,base_link,0.0,0.0
2025/07/05/17:48:08.775905,9495,1751712488,780147008,base_link,0.0,0.0
2025/07/05/17:48:08.854903,9496,1751712488,860147008,base_link,0.0,0.0
2025/07/05/17:48:08.955091,9497,1751712488,960147008,base_link,0.0,0.0
2025/07/05/17:48:09.054205,9498,1751712489,60147008,base_link,0.0,0.0
2025/07/05/17:48:09.154927,9499,1751712489,161147008,base_link,0.0,0.0
2025/07/05/17:48:09.255142,9500,1751712489,260147008,base_link,0.0,0.0
2025/07/05/17:48:09.354135,9501,1751712489,360147008,base_link,0.0,0.0
2025/07/05/17:48:09.516700,9502,1751712489,521147008,base_link,0.0,0.0
2025/07/05/17:48:09.596562,9503,1751712489,602147008,base_link,0.0,0.0
2025/07/05/17:48:09.695339,9504,1751712489,701147008,base_link,0.0,0.0
2025/07/05/17:48:09.795890,9505,1751712489,802147008,base_link,0.0,0.0
2025/07/05/17:48:09.894622,9506,1751712489,901147008,base_link,0.0,0.0
2025/07/05/17:48:09.975346,9507,1751712489,980147008,base_link,0.0,0.0
2025/07/05/17:48:10.076014,9508,1751712490,81147008,base_link,0.0,0.0
2025/07/05/17:48:10.175907,9509,1751712490,181147008,base_link,0.0,0.0
2025/07/05/17:48:10.275190,9510,1751712490,280147008,base_link,0.0,0.0
2025/07/05/17:48:10.395696,9511,1751712490,402147008,base_link,0.0,0.0
2025/07/05/17:48:10.554762,9512,1751712490,560147008,base_link,0.0,0.0
2025/07/05/17:48:10.617980,9513,1751712490,624147008,base_link,0.0,0.0
2025/07/05/17:48:10.733360,9514,1751712490,740147008,base_link,0.0,0.0
2025/07/05/17:48:10.833947,9515,1751712490,840147008,base_link,0.0,0.0
2025/07/05/17:48:10.933805,9516,1751712490,940147008,base_link,0.0,0.0
2025/07/05/17:48:11.034120,9517,1751712491,40147008,base_link,0.0,0.0
2025/07/05/17:48:11.114598,9518,1751712491,121147008,base_link,0.0,0.0
2025/07/05/17:48:11.196350,9519,1751712491,203147008,base_link,0.0,0.0
2025/07/05/17:48:11.294797,9520,1751712491,301147008,base_link,0.0,0.0
2025/07/05/17:48:11.418811,9521,1751712491,424147008,base_link,0.0,0.0
2025/07/05/17:48:11.575800,9522,1751712491,581147008,base_link,0.0,0.0
2025/07/05/17:48:11.653978,9523,1751712491,660147008,base_link,0.0,0.0
2025/07/05/17:48:11.754454,9524,1751712491,760147008,base_link,0.0,0.0
2025/07/05/17:48:11.833545,9525,1751712491,840147008,base_link,0.0,0.0
