time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.fluid_pressure,.variance
2025/07/05/17:47:55.674668,9374,1751712475,681147008,base_link,101078.99169921875,0.0
2025/07/05/17:47:55.775467,9375,1751712475,780147008,base_link,101076.99584960938,0.0
2025/07/05/17:47:55.874304,9376,1751712475,881147008,base_link,101078.90625,0.0
2025/07/05/17:47:55.995212,9377,1751712476,1147008,base_link,101078.57666015625,0.0
2025/07/05/17:47:56.096208,9378,1751712476,102147008,base_link,101076.22680664062,0.0
2025/07/05/17:47:56.195609,9379,1751712476,202147008,base_link,101076.35498046875,0.0
2025/07/05/17:47:56.315295,9380,1751712476,321147008,base_link,101076.35498046875,0.0
2025/07/05/17:47:56.474968,9381,1751712476,481147008,base_link,101077.20947265625,0.0
2025/07/05/17:47:56.595762,9382,1751712476,602147008,base_link,101078.14331054688,0.0
2025/07/05/17:47:56.695713,9383,1751712476,701147008,base_link,101076.65405273438,0.0
2025/07/05/17:47:56.774339,9384,1751712476,780147008,base_link,101076.65405273438,0.0
2025/07/05/17:47:56.874649,9385,1751712476,880147008,base_link,101077.91137695312,0.0
2025/07/05/17:47:56.995548,9386,1751712477,1147008,base_link,101074.33471679688,0.0
2025/07/05/17:47:57.074624,9387,1751712477,80147008,base_link,101074.33471679688,0.0
2025/07/05/17:47:57.154385,9388,1751712477,160147008,base_link,101078.60107421875,0.0
2025/07/05/17:47:57.254581,9389,1751712477,260147008,base_link,101080.11474609375,0.0
2025/07/05/17:47:57.334564,9390,1751712477,340147008,base_link,101079.33959960938,0.0
2025/07/05/17:47:57.496622,9391,1751712477,502147008,base_link,101077.2705078125,0.0
2025/07/05/17:47:57.596403,9392,1751712477,602147008,base_link,101075.23803710938,0.0
2025/07/05/17:47:57.675114,9393,1751712477,681147008,base_link,101075.23803710938,0.0
2025/07/05/17:47:57.796481,9394,1751712477,802147008,base_link,101076.25732421875,0.0
2025/07/05/17:47:57.895530,9395,1751712477,901147008,base_link,101077.67944335938,0.0
2025/07/05/17:47:57.996468,9396,1751712478,2147008,base_link,101075.23193359375,0.0
2025/07/05/17:47:58.094875,9397,1751712478,101147008,base_link,101077.13623046875,0.0
2025/07/05/17:47:58.174322,9398,1751712478,181147008,base_link,101077.13623046875,0.0
2025/07/05/17:47:58.274181,9399,1751712478,280147008,base_link,101077.7099609375,0.0
2025/07/05/17:47:58.395496,9400,1751712478,402147008,base_link,101077.34985351562,0.0
2025/07/05/17:47:58.554314,9401,1751712478,560147008,base_link,101076.67846679688,0.0
2025/07/05/17:47:58.637358,9402,1751712478,643147008,base_link,101077.19116210938,0.0
2025/07/05/17:47:58.734171,9403,1751712478,740147008,base_link,101078.25317382812,0.0
2025/07/05/17:47:58.837907,9404,1751712478,843147008,base_link,101077.04467773438,0.0
2025/07/05/17:47:58.934875,9405,1751712478,940147008,base_link,101076.18408203125,0.0
2025/07/05/17:47:59.054618,9406,1751712479,60147008,base_link,101077.52075195312,0.0
2025/07/05/17:47:59.154880,9407,1751712479,160147008,base_link,101077.42919921875,0.0
2025/07/05/17:47:59.274810,9408,1751712479,280147008,base_link,101076.34887695312,0.0
2025/07/05/17:47:59.415821,9409,1751712479,422147008,base_link,101076.80053710938,0.0
2025/07/05/17:47:59.574761,9410,1751712479,581147008,base_link,101078.60717773438,0.0
2025/07/05/17:47:59.674660,9411,1751712479,681147008,base_link,101075.732421875,0.0
2025/07/05/17:47:59.774361,9412,1751712479,780147008,base_link,101078.16162109375,0.0
2025/07/05/17:47:59.874848,9413,1751712479,881147008,base_link,101077.70385742188,0.0
2025/07/05/17:47:59.996333,9414,1751712480,2147008,base_link,101077.1484375,0.0
2025/07/05/17:48:00.074879,9415,1751712480,80147008,base_link,101077.1484375,0.0
2025/07/05/17:48:00.174519,9416,1751712480,180147008,base_link,101077.91137695312,0.0
2025/07/05/17:48:00.256468,9417,1751712480,260147008,base_link,101076.14135742188,0.0
2025/07/05/17:48:00.355107,9418,1751712480,360147008,base_link,101077.64892578125,0.0
2025/07/05/17:48:00.534520,9419,1751712480,540147008,base_link,101077.880859375,0.0
2025/07/05/17:48:00.634295,9420,1751712480,640147008,base_link,101076.59301757812,0.0
2025/07/05/17:48:00.715368,9421,1751712480,721147008,base_link,101077.63061523438,0.0
2025/07/05/17:48:00.796253,9422,1751712480,802147008,base_link,101076.97143554688,0.0
2025/07/05/17:48:00.895874,9423,1751712480,902147008,base_link,101077.60009765625,0.0
2025/07/05/17:48:00.974161,9424,1751712480,981147008,base_link,101077.60009765625,0.0
2025/07/05/17:48:01.074279,9425,1751712481,81147008,base_link,101075.5859375,0.0
2025/07/05/17:48:01.174864,9426,1751712481,181147008,base_link,101078.35693359375,0.0
2025/07/05/17:48:01.274484,9427,1751712481,281147008,base_link,101076.28173828125,0.0
2025/07/05/17:48:01.396343,9428,1751712481,402147008,base_link,101077.74658203125,0.0
2025/07/05/17:48:01.574696,9429,1751712481,580147008,base_link,101074.98779296875,0.0
2025/07/05/17:48:01.675462,9430,1751712481,682147008,base_link,101078.11279296875,0.0
2025/07/05/17:48:01.774630,9431,1751712481,781147008,base_link,101078.04565429688,0.0
2025/07/05/17:48:01.874819,9432,1751712481,880147008,base_link,101077.59399414062,0.0
2025/07/05/17:48:01.996928,9433,1751712482,2147008,base_link,101076.70288085938,0.0
2025/07/05/17:48:02.074997,9434,1751712482,81147008,base_link,101076.70288085938,0.0
2025/07/05/17:48:02.174665,9435,1751712482,180147008,base_link,101077.3193359375,0.0
2025/07/05/17:48:02.274578,9436,1751712482,281147008,base_link,101078.125,0.0
2025/07/05/17:48:02.418213,9437,1751712482,424147008,base_link,101076.17797851562,0.0
2025/07/05/17:48:02.574423,9438,1751712482,581147008,base_link,101077.48413085938,0.0
2025/07/05/17:48:02.695451,9439,1751712482,701147008,base_link,101078.16162109375,0.0
2025/07/05/17:48:02.774466,9440,1751712482,780147008,base_link,101078.16162109375,0.0
2025/07/05/17:48:02.875465,9441,1751712482,881147008,base_link,101077.72216796875,0.0
2025/07/05/17:48:02.996429,9442,1751712483,2147008,base_link,101076.40380859375,0.0
2025/07/05/17:48:03.075011,9443,1751712483,80147008,base_link,101076.40380859375,0.0
2025/07/05/17:48:03.174214,9444,1751712483,181147008,base_link,101078.515625,0.0
2025/07/05/17:48:03.274784,9445,1751712483,281147008,base_link,101076.54418945312,0.0
2025/07/05/17:48:03.374671,9446,1751712483,380147008,base_link,101075.76293945312,0.0
2025/07/05/17:48:03.554573,9447,1751712483,560147008,base_link,101078.79638671875,0.0
2025/07/05/17:48:03.654705,9448,1751712483,660147008,base_link,101077.91137695312,0.0
2025/07/05/17:48:03.754914,9449,1751712483,761147008,base_link,101075.0732421875,0.0
2025/07/05/17:48:03.854185,9450,1751712483,860147008,base_link,101077.11791992188,0.0
2025/07/05/17:48:03.975055,9451,1751712483,981147008,base_link,101078.25317382812,0.0
2025/07/05/17:48:04.097223,9452,1751712484,101147008,base_link,101076.20239257812,0.0
2025/07/05/17:48:04.176585,9453,1751712484,181147008,base_link,101076.20239257812,0.0
2025/07/05/17:48:04.275285,9454,1751712484,280147008,base_link,101078.466796875,0.0
