time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.rssi,.channels
2025/07/05/17:47:55.674323,9374,1751712475,680147008,,255,()
2025/07/05/17:47:55.757803,9375,1751712475,760147008,,255,()
2025/07/05/17:47:55.874229,9376,1751712475,880147008,,255,()
2025/07/05/17:47:55.995074,9377,1751712476,1147008,,255,()
2025/07/05/17:47:56.095345,9378,1751712476,101147008,,255,()
2025/07/05/17:47:56.195482,9379,1751712476,201147008,,255,()
2025/07/05/17:47:56.295349,9380,1751712476,302147008,,255,()
2025/07/05/17:47:56.416661,9381,1751712476,422147008,,255,()
2025/07/05/17:47:56.595957,9382,1751712476,601147008,,255,()
2025/07/05/17:47:56.676185,9383,1751712476,682147008,,255,()
2025/07/05/17:47:56.754932,9384,1751712476,761147008,,255,()
2025/07/05/17:47:56.854842,9385,1751712476,861147008,,255,()
2025/07/05/17:47:56.995617,9386,1751712477,1147008,,255,()
2025/07/05/17:47:57.055075,9387,1751712477,61147008,,255,()
2025/07/05/17:47:57.134795,9388,1751712477,140147008,,255,()
2025/07/05/17:47:57.237660,9389,1751712477,243147008,,255,()
2025/07/05/17:47:57.315688,9390,1751712477,321147008,,255,()
2025/07/05/17:47:57.437927,9391,1751712477,444147008,,255,()
2025/07/05/17:47:57.596462,9392,1751712477,602147008,,255,()
2025/07/05/17:47:57.674654,9393,1751712477,680147008,,255,()
2025/07/05/17:47:57.774728,9394,1751712477,780147008,,255,()
2025/07/05/17:47:57.895597,9395,1751712477,901147008,,255,()
2025/07/05/17:47:57.996438,9396,1751712478,2147008,,255,()
2025/07/05/17:47:58.094894,9397,1751712478,101147008,,255,()
2025/07/05/17:47:58.155084,9398,1751712478,161147008,,255,()
2025/07/05/17:47:58.254412,9399,1751712478,261147008,,255,()
2025/07/05/17:47:58.395433,9400,1751712478,401147008,,255,()
2025/07/05/17:47:58.534348,9401,1751712478,540147008,,255,()
2025/07/05/17:47:58.614891,9402,1751712478,622147008,,255,()
2025/07/05/17:47:58.715749,9403,1751712478,721147008,,255,()
2025/07/05/17:47:58.815724,9404,1751712478,822147008,,255,()
2025/07/05/17:47:58.915938,9405,1751712478,922147008,,255,()
2025/07/05/17:47:59.054661,9406,1751712479,60147008,,255,()
2025/07/05/17:47:59.154746,9407,1751712479,160147008,,255,()
