time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.time_ref.secs,.time_ref.nsecs,.source
2025/07/05/17:47:55.695095,9375,1751712475,694666643,,1751712475,481333000,fcu
2025/07/05/17:47:55.776224,9376,1751712475,774844955,,1751712475,561135000,fcu
2025/07/05/17:47:55.915917,9377,1751712475,915140336,,1751712475,701344000,fcu
2025/07/05/17:47:55.996356,9378,1751712475,996063555,,1751712475,782186000,fcu
2025/07/05/17:47:56.115581,9379,1751712476,115019725,,1751712475,901168000,fcu
2025/07/05/17:47:56.217300,9380,1751712476,215780834,,1751712476,1730000,fcu
2025/07/05/17:47:56.315306,9381,1751712476,314696931,,1751712476,101471000,fcu
2025/07/05/17:47:56.475342,9382,1751712476,474883971,,1751712476,261524000,fcu
2025/07/05/17:47:56.615932,9383,1751712476,615208545,,1751712476,401749000,fcu
2025/07/05/17:47:56.695844,9384,1751712476,695042836,,1751712476,481952000,fcu
2025/07/05/17:47:56.775000,9385,1751712476,774795946,,1751712476,561121000,fcu
2025/07/05/17:47:56.874712,9386,1751712476,874285064,,1751712476,661114000,fcu
2025/07/05/17:47:56.995686,9387,1751712476,995105084,,1751712476,782025000,fcu
2025/07/05/17:47:57.074657,9388,1751712477,74004933,,1751712476,860750000,fcu
2025/07/05/17:47:57.154627,9389,1751712477,154224296,,1751712476,941029000,fcu
2025/07/05/17:47:57.254616,9390,1751712477,253971547,,1751712477,40676000,fcu
2025/07/05/17:47:57.334702,9391,1751712477,334140829,,1751712477,120685000,fcu
2025/07/05/17:47:57.496699,9392,1751712477,495779325,,1751712477,282245000,fcu
2025/07/05/17:47:57.596568,9393,1751712477,595894773,,1751712477,382946000,fcu
2025/07/05/17:47:57.695596,9394,1751712477,695148257,,1751712477,481714000,fcu
2025/07/05/17:47:57.796509,9395,1751712477,795726762,,1751712477,582270000,fcu
2025/07/05/17:47:57.896490,9396,1751712477,896051204,,1751712477,682199000,fcu
2025/07/05/17:47:58.018013,9397,1751712478,17343237,,1751712477,803976000,fcu
2025/07/05/17:47:58.095966,9398,1751712478,95898829,,1751712477,882139000,fcu
2025/07/05/17:47:58.196095,9399,1751712478,195509693,,1751712477,982236000,fcu
2025/07/05/17:47:58.295560,9400,1751712478,295045265,,1751712478,81528000,fcu
2025/07/05/17:47:58.396199,9401,1751712478,395920233,,1751712478,182378000,fcu
2025/07/05/17:47:58.554399,9402,1751712478,554030500,,1751712478,340657000,fcu
2025/07/05/17:47:58.637618,9403,1751712478,637355846,,1751712478,423440000,fcu
2025/07/05/17:47:58.734184,9404,1751712478,734021437,,1751712478,520782000,fcu
2025/07/05/17:47:58.854559,9405,1751712478,854143216,,1751712478,640402000,fcu
2025/07/05/17:47:58.954490,9406,1751712478,954049202,,1751712478,740443000,fcu
2025/07/05/17:47:59.054669,9407,1751712479,54053699,,1751712478,841069000,fcu
2025/07/05/17:47:59.174547,9408,1751712479,174236174,,1751712478,960768000,fcu
2025/07/05/17:47:59.274855,9409,1751712479,274388565,,1751712479,61143000,fcu
2025/07/05/17:47:59.415853,9410,1751712479,415156750,,1751712479,202231000,fcu
2025/07/05/17:47:59.596046,9411,1751712479,595417991,,1751712479,381939000,fcu
2025/07/05/17:47:59.674943,9412,1751712479,674800922,,1751712479,461461000,fcu
2025/07/05/17:47:59.796895,9413,1751712479,796192442,,1751712479,582327000,fcu
2025/07/05/17:47:59.895876,9414,1751712479,895225859,,1751712479,681444000,fcu
2025/07/05/17:47:59.996559,9415,1751712479,996044800,,1751712479,782664000,fcu
2025/07/05/17:48:00.095661,9416,1751712480,95144482,,1751712479,881712000,fcu
