time,.layout.dim,.layout.data_offset,.data
2025/07/05/17:49:31.132132,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.132284,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.133115,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.235511,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.236129,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.236269,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.332770,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.333582,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.333931,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.493925,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.494282,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.495487,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.592948,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.593637,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.593969,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.672839,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.673163,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.673765,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.753067,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.753729,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.753942,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.852231,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.853185,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.853379,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.972822,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.973062,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:31.973808,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.052356,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.052803,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.053452,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.151720,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.151858,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.152373,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.252335,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.252571,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.253088,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.351322,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.351506,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.352053,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.513829,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.513851,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.515184,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.633935,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.634011,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.634314,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.732477,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:32.732722,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
