time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2025/07/05/17:49:30.931205,9733,1751712570,940147008,base_link,0,1,-7.2871471,112.7959355,53.865025738541945,"(1.7503289999999998, 0.0, 0.0, 0.0, 1.7503289999999998, 0.0, 0.0, 0.0, 4.096576)",2
2025/07/05/17:49:31.031012,9734,1751712571,40147008,base_link,0,1,-7.2871473,112.7959355,53.86502523107312,"(1.7503289999999998, 0.0, 0.0, 0.0, 1.7503289999999998, 0.0, 0.0, 0.0, 4.096576)",2
2025/07/05/17:49:31.131252,9735,1751712571,140147008,base_link,0,1,-7.2871475,112.7959355,53.865024723604805,"(1.755625, 0.0, 0.0, 0.0, 1.755625, 0.0, 0.0, 0.0, 4.108729)",2
2025/07/05/17:49:31.233675,9736,1751712571,243147008,base_link,0,1,-7.2871477,112.7959355,53.86502421613697,"(1.755625, 0.0, 0.0, 0.0, 1.755625, 0.0, 0.0, 0.0, 4.108729)",2
2025/07/05/17:49:31.331665,9737,1751712571,340147008,base_link,0,1,-7.2871478,112.7959355,53.855023962403244,"(1.7635840000000003, 0.0, 0.0, 0.0, 1.7635840000000003, 0.0, 0.0, 0.0, 4.108729)",2
2025/07/05/17:49:31.492726,9738,1751712571,502147008,base_link,0,1,-7.2871481,112.7959355,53.85502320120276,"(1.7635840000000003, 0.0, 0.0, 0.0, 1.7635840000000003, 0.0, 0.0, 0.0, 4.108729)",2
2025/07/05/17:49:31.591634,9739,1751712571,601147008,base_link,0,1,-7.2871482,112.7959355,53.86502294746954,"(1.7635840000000003, 0.0, 0.0, 0.0, 1.7635840000000003, 0.0, 0.0, 0.0, 4.1046759999999995)",2
2025/07/05/17:49:31.671880,9740,1751712571,680147008,base_link,0,1,-7.2871484,112.7959355,53.865022440003415,"(1.7635840000000003, 0.0, 0.0, 0.0, 1.7635840000000003, 0.0, 0.0, 0.0, 4.100625)",2
2025/07/05/17:49:31.751767,9741,1751712571,760147008,base_link,0,1,-7.2871485,112.7959356,53.86502249845158,"(1.7635840000000003, 0.0, 0.0, 0.0, 1.7635840000000003, 0.0, 0.0, 0.0, 4.100625)",2
2025/07/05/17:49:31.850953,9742,1751712571,860147008,base_link,0,1,-7.2871487,112.7959357,53.86502230316701,"(1.755625, 0.0, 0.0, 0.0, 1.755625, 0.0, 0.0, 0.0, 4.088483999999999)",2
2025/07/05/17:49:31.971904,9743,1751712571,980147008,base_link,0,1,-7.2871489,112.7959358,53.86502210788275,"(1.755625, 0.0, 0.0, 0.0, 1.755625, 0.0, 0.0, 0.0, 4.088483999999999)",2
2025/07/05/17:49:32.051169,9744,1751712572,60147008,base_link,0,1,-7.287149,112.7959358,53.865021854150356,"(1.755625, 0.0, 0.0, 0.0, 1.755625, 0.0, 0.0, 0.0, 4.088483999999999)",2
2025/07/05/17:49:32.150908,9745,1751712572,160147008,base_link,0,1,-7.2871492,112.7959359,53.86502165886667,"(1.734489, 0.0, 0.0, 0.0, 1.734489, 0.0, 0.0, 0.0, 4.064256)",2
2025/07/05/17:49:32.251533,9746,1751712572,260147008,base_link,0,1,-7.2871494,112.795936,53.86502146358323,"(1.734489, 0.0, 0.0, 0.0, 1.734489, 0.0, 0.0, 0.0, 4.064256)",2
2025/07/05/17:49:32.350514,9747,1751712572,360147008,base_link,0,1,-7.2871497,112.7959361,53.86502101456851,"(1.7134809999999998, 0.0, 0.0, 0.0, 1.7134809999999998, 0.0, 0.0, 0.0, 4.0441210000000005)",2
2025/07/05/17:49:32.512859,9748,1751712572,521147008,base_link,0,1,-7.2871501,112.7959363,53.85502062400355,"(1.7056360000000002, 0.0, 0.0, 0.0, 1.7056360000000002, 0.0, 0.0, 0.0, 4.048144)",2
2025/07/05/17:49:32.633323,9749,1751712572,643147008,base_link,0,1,-7.2871503,112.7959363,53.85502011654146,"(1.7056360000000002, 0.0, 0.0, 0.0, 1.7056360000000002, 0.0, 0.0, 0.0, 4.048144)",2
2025/07/05/17:49:32.731144,9750,1751712572,740147008,base_link,0,1,-7.2871505,112.7959364,53.8550199212599,"(1.7004160000000001, 0.0, 0.0, 0.0, 1.7004160000000001, 0.0, 0.0, 0.0, 4.0441210000000005)",2
2025/07/05/17:49:32.834103,9751,1751712572,843147008,base_link,0,1,-7.2871508,112.7959365,53.855019472248166,"(1.7004160000000001, 0.0, 0.0, 0.0, 1.7004160000000001, 0.0, 0.0, 0.0, 4.0441210000000005)",2
2025/07/05/17:49:32.931569,9752,1751712572,940147008,base_link,0,1,-7.287151,112.7959367,53.8550195891472,"(1.6952040000000002, 0.0, 0.0, 0.0, 1.6952040000000002, 0.0, 0.0, 0.0, 4.040099999999999)",2
2025/07/05/17:49:33.033538,9753,1751712573,43147008,base_link,0,1,-7.2871512,112.7959368,53.855019393866634,"(1.6952040000000002, 0.0, 0.0, 0.0, 1.6952040000000002, 0.0, 0.0, 0.0, 4.040099999999999)",2
2025/07/05/17:49:33.131367,9754,1751712573,140147008,base_link,0,1,-7.2871514,112.795937,53.855019510765864,"(1.6952040000000002, 0.0, 0.0, 0.0, 1.6952040000000002, 0.0, 0.0, 0.0, 4.036080999999999)",2
2025/07/05/17:49:33.233611,9755,1751712573,243147008,base_link,0,1,-7.2871516,112.7959371,53.84501931548584,"(1.6952040000000002, 0.0, 0.0, 0.0, 1.6952040000000002, 0.0, 0.0, 0.0, 4.036080999999999)",2
2025/07/05/17:49:33.331064,9756,1751712573,340147008,base_link,0,1,-7.2871518,112.7959373,53.84501943238541,"(1.697809, 0.0, 0.0, 0.0, 1.697809, 0.0, 0.0, 0.0, 4.032064)",2
2025/07/05/17:49:33.492682,9757,1751712573,501147008,base_link,0,1,-7.2871521,112.7959375,53.855019295555714,"(1.697809, 0.0, 0.0, 0.0, 1.697809, 0.0, 0.0, 0.0, 4.032064)",2
2025/07/05/17:49:33.592737,9758,1751712573,602147008,base_link,0,1,-7.2871524,112.7959376,53.855018846547644,"(1.7004160000000001, 0.0, 0.0, 0.0, 1.7004160000000001, 0.0, 0.0, 0.0, 4.028049)",2
2025/07/05/17:49:33.671475,9759,1751712573,680147008,base_link,0,1,-7.2871526,112.7959378,53.85501896344787,"(1.7030249999999998, 0.0, 0.0, 0.0, 1.7030249999999998, 0.0, 0.0, 0.0, 4.028049)",2
2025/07/05/17:49:33.771800,9760,1751712573,780147008,base_link,0,1,-7.2871529,112.795938,53.8650188266197,"(1.7030249999999998, 0.0, 0.0, 0.0, 1.7030249999999998, 0.0, 0.0, 0.0, 4.028049)",2
2025/07/05/17:49:33.851283,9761,1751712573,860147008,base_link,0,1,-7.2871532,112.7959382,53.86501868979194,"(1.7030249999999998, 0.0, 0.0, 0.0, 1.7030249999999998, 0.0, 0.0, 0.0, 4.028049)",2
2025/07/05/17:49:33.950983,9762,1751712573,960147008,base_link,0,1,-7.2871536,112.7959384,53.865018299237036,"(1.708249, 0.0, 0.0, 0.0, 1.708249, 0.0, 0.0, 0.0, 4.032064)",2
