time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.magnetic_field.x,.magnetic_field.y,.magnetic_field.z,.magnetic_field_covariance
2025/07/05/17:49:30.950773,10277,1751712570,960618008,base_link,-350000.0,120000.00000000003,220999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:31.031328,10278,1751712571,41285008,base_link,-348000.0,122000.00000000003,219999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:31.150800,10279,1751712571,160596008,base_link,-346000.0,124000.00000000003,219999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:31.250698,10280,1751712571,260586008,base_link,-345000.0,127000.00000000003,219999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:31.350775,10281,1751712571,360748008,base_link,-344000.0,130000.00000000003,220999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:31.511655,10282,1751712571,521676008,base_link,-341000.0,135000.00000000003,219999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:31.592128,10283,1751712571,602156008,base_link,-338000.0,138000.00000000003,218999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:31.672283,10284,1751712571,681696008,base_link,-338000.0,138000.00000000003,218999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:31.771743,10285,1751712571,781395008,base_link,-338000.0,140000.00000000003,220999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:31.851352,10286,1751712571,861316008,base_link,-336000.0,142000.00000000003,219999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:31.992227,10287,1751712572,2262008,base_link,-335000.0,148000.00000000003,220999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:32.051340,10288,1751712572,61306008,base_link,-335000.0,148000.00000000003,220999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:32.171799,10289,1751712572,180727008,base_link,-333000.0,151000.00000000003,220999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:32.271924,10290,1751712572,281119008,base_link,-331000.0,153000.00000000003,219999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:32.350961,10291,1751712572,361327008,base_link,-330000.0,154000.00000000003,220999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:32.531149,10292,1751712572,540991008,base_link,-328000.0,159000.00000000003,220999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:32.633844,10293,1751712572,644243008,base_link,-326000.0,161000.00000000003,220999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:32.751196,10294,1751712572,760718008,base_link,-325000.0,163000.00000000003,220999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:32.834593,10295,1751712572,844011008,base_link,-323000.0,165000.00000000003,219999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:32.953080,10296,1751712572,960710008,base_link,-323000.0,167000.00000000003,219999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:33.033857,10297,1751712573,44203008,base_link,-320000.0,169000.00000000003,220999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2025/07/05/17:49:33.131550,10298,1751712573,141171008,base_link,-320000.0,171000.00000000003,221999.99999999997,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
