time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.temperature,.variance
2025/07/05/17:49:30.950797,10277,1751712570,960147008,base_link,69.33,0.0
2025/07/05/17:49:31.051533,10278,1751712571,60147008,base_link,69.33,0.0
2025/07/05/17:49:31.150810,10279,1751712571,160147008,base_link,69.33,0.0
2025/07/05/17:49:31.250931,10280,1751712571,260147008,base_link,69.33,0.0
2025/07/05/17:49:31.350847,10281,1751712571,360147008,base_link,69.33,0.0
2025/07/05/17:49:31.511970,10282,1751712571,521147008,base_link,69.33,0.0
2025/07/05/17:49:31.612024,10283,1751712571,621147008,base_link,69.33,0.0
2025/07/05/17:49:31.692960,10284,1751712571,702147008,base_link,69.33,0.0
2025/07/05/17:49:31.792963,10285,1751712571,802147008,base_link,69.33,0.0
2025/07/05/17:49:31.871576,10286,1751712571,880147008,base_link,69.33,0.0
2025/07/05/17:49:31.992248,10287,1751712572,2147008,base_link,69.33,0.0
2025/07/05/17:49:32.071596,10288,1751712572,80147008,base_link,69.33,0.0
2025/07/05/17:49:32.171832,10289,1751712572,180147008,base_link,69.34,0.0
2025/07/05/17:49:32.272263,10290,1751712572,281147008,base_link,69.34,0.0
2025/07/05/17:49:32.412904,10291,1751712572,422147008,base_link,69.33,0.0
2025/07/05/17:49:32.531171,10292,1751712572,541147008,base_link,69.34,0.0
2025/07/05/17:49:32.652810,10293,1751712572,660147008,base_link,69.34,0.0
2025/07/05/17:49:32.751230,10294,1751712572,760147008,base_link,69.34,0.0
2025/07/05/17:49:32.834648,10295,1751712572,844147008,base_link,69.34,0.0
2025/07/05/17:49:32.953094,10296,1751712572,960147008,base_link,69.34,0.0
2025/07/05/17:49:33.053083,10297,1751712573,60147008,base_link,69.34,0.0
2025/07/05/17:49:33.151603,10298,1751712573,160147008,base_link,69.34,0.0
2025/07/05/17:49:33.251539,10299,1751712573,260147008,base_link,69.34,0.0
2025/07/05/17:49:33.351227,10300,1751712573,360147008,base_link,69.34,0.0
2025/07/05/17:49:33.512879,10301,1751712573,522147008,base_link,69.34,0.0
2025/07/05/17:49:33.593246,10302,1751712573,602147008,base_link,69.34,0.0
2025/07/05/17:49:33.692123,10303,1751712573,701147008,base_link,69.34,0.0
2025/07/05/17:49:33.791860,10304,1751712573,801147008,base_link,69.34,0.0
2025/07/05/17:49:33.892062,10305,1751712573,901147008,base_link,69.34,0.0
2025/07/05/17:49:33.971452,10306,1751712573,980147008,base_link,69.34,0.0
2025/07/05/17:49:34.071794,10307,1751712574,81147008,base_link,69.34,0.0
2025/07/05/17:49:34.192795,10308,1751712574,201147008,base_link,69.34,0.0
2025/07/05/17:49:34.270888,10309,1751712574,280147008,base_link,69.34,0.0
2025/07/05/17:49:34.392030,10310,1751712574,402147008,base_link,69.34,0.0
2025/07/05/17:49:34.571669,10311,1751712574,581147008,base_link,69.34,0.0
2025/07/05/17:49:34.671666,10312,1751712574,680147008,base_link,69.34,0.0
2025/07/05/17:49:34.772053,10313,1751712574,780147008,base_link,69.34,0.0
2025/07/05/17:49:34.872043,10314,1751712574,880147008,base_link,69.34,0.0
2025/07/05/17:49:34.991857,10315,1751712575,1147008,base_link,69.34,0.0
2025/07/05/17:49:35.071583,10316,1751712575,81147008,base_link,69.34,0.0
2025/07/05/17:49:35.171499,10317,1751712575,180147008,base_link,69.34,0.0
2025/07/05/17:49:35.271519,10318,1751712575,281147008,base_link,69.34,0.0
2025/07/05/17:49:35.351239,10319,1751712575,360147008,base_link,69.35,0.0
