time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z
2025/07/05/17:49:30.972045,10278,1751712570,980147008,base_link,-0.0010304796742275357,-0.19818086922168732,0.00780773488804698,0.001984924045529548,0.0026088282807743123,0.07295182217093135
2025/07/05/17:49:31.092505,10279,1751712571,101147008,base_link,0.0024703419767320156,-0.19558291137218475,0.004353655967861414,0.002234916784203951,0.008029161343239603,0.07313405149295127
2025/07/05/17:49:31.192737,10280,1751712571,201147008,base_link,0.003914495464414358,-0.1925520896911621,0.0006813000072725117,0.0014795929201722232,0.002438387341440463,0.07056138583838938
2025/07/05/17:49:31.271523,10281,1751712571,281147008,base_link,0.002947873203083873,-0.18991099298000336,-0.000795086205471307,0.0018521525107000447,-0.00896592162691219,0.07149406000247245
2025/07/05/17:49:31.392626,10282,1751712571,402147008,base_link,-0.00048386940034106374,-0.1859511286020279,0.0021413795184344053,0.002009532411061628,-0.014673688959233261,0.07391584443115073
2025/07/05/17:49:31.551583,10283,1751712571,560147008,base_link,-0.0016149847069755197,-0.1807178407907486,0.0078355073928833,-0.003893738496106809,0.0015033789052140666,0.07393866977435425
2025/07/05/17:49:31.634948,10284,1751712571,643147008,base_link,-0.00010889209806919098,-0.17834164202213287,0.006951628718525171,-0.006663710452657266,0.017588043509527036,0.072379727209847
2025/07/05/17:49:31.693329,10285,1751712571,702147008,base_link,0.003906865604221821,-0.17665085196495056,0.005951078608632088,-0.005849968229796319,0.02074929606321328,0.07081638214718747
2025/07/05/17:49:31.793197,10286,1751712571,802147008,base_link,0.008318294771015644,-0.1732306033372879,0.0023294684942811728,-0.002511483389097069,0.010640777124588332,0.07072655544174572
2025/07/05/17:49:31.912885,10287,1751712571,921147008,base_link,0.01574155129492283,-0.17134717106819153,0.001756434328854084,0.003009468384724086,-0.01058861074373405,0.07079700598902033
2025/07/05/17:49:32.012552,10288,1751712572,21147008,base_link,0.017782730981707573,-0.16924209892749786,0.004564614035189152,0.006899358470695326,-0.02151452166225759,0.06909872563407617
2025/07/05/17:49:32.092731,10289,1751712572,102147008,base_link,0.019417112693190575,-0.17060887813568115,0.005427992902696133,0.0052684772073065215,-0.01217067187652514,0.0674681579370167
2025/07/05/17:49:32.193629,10290,1751712572,202147008,base_link,0.02131650224328041,-0.17031748592853546,0.00484889280050993,-0.0008089963332516912,0.006485400998139454,0.0650659662251656
2025/07/05/17:49:32.292277,10291,1751712572,302147008,base_link,0.025864722207188606,-0.174036905169487,0.0019593071192502975,-0.006146582982773131,0.015006713281420083,0.06299460681189965
2025/07/05/17:49:32.471738,10292,1751712572,480147008,base_link,0.030146459117531776,-0.17815057933330536,0.0015697978669777513,-0.00756795653215016,0.009953814370750675,0.0626081531439263
2025/07/05/17:49:32.572651,10293,1751712572,580147008,base_link,0.03115140274167061,-0.18025848269462585,0.0026220306754112244,-0.0002435355623598423,-0.005193256955332065,0.0612972435515574
2025/07/05/17:49:32.672462,10294,1751712572,681147008,base_link,0.033427730202674866,-0.1821686178445816,0.002160127041861415,0.005767704305160849,-0.006934123724416679,0.06146327920763236
2025/07/05/17:49:32.772160,10295,1751712572,781147008,base_link,0.037879642099142075,-0.1817876547574997,0.0005994563107378781,0.005798170261900715,-0.0017826681293944008,0.06115604085955771
2025/07/05/17:49:32.872824,10296,1751712572,881147008,base_link,0.04421256482601166,-0.18341971933841705,-0.0013094268506392837,-5.338831595443809e-05,0.003658256012194718,0.06060488025715109
2025/07/05/17:49:32.972016,10297,1751712572,981147008,base_link,0.04907773435115814,-0.18477380275726318,-0.0012116279685869813,-0.005811371945845157,0.005474010187589832,0.05898301958881682
2025/07/05/17:49:33.071974,10298,1751712573,81147008,base_link,0.05287265405058861,-0.186804860830307,0.00037677568616345525,-0.005223954277336259,0.000990332950919848,0.058660973100082496
2025/07/05/17:49:33.173410,10299,1751712573,181147008,base_link,0.055667657405138016,-0.18682007491588593,7.283132435986772e-05,0.0012353691449684418,-0.005956873941945375,0.05932314265184015
2025/07/05/17:49:33.292779,10300,1751712573,301147008,base_link,0.06227462738752365,-0.18609577417373657,-0.0020967128220945597,0.004770932263022673,-0.0060178709483435806,0.061485649007141145
2025/07/05/17:49:33.371609,10301,1751712573,381147008,base_link,0.07526445388793945,-0.2065158635377884,-0.007388400845229626,0.0008353856507012296,0.0015584238526053038,0.06216762690810033
2025/07/05/17:49:33.551477,10302,1751712573,560147008,base_link,0.09086956828832626,-0.29798200726509094,-0.005088972393423319,-0.03576470139194448,0.00019278344849599227,0.0762737118542248
2025/07/05/17:49:33.615396,10303,1751712573,624147008,base_link,0.10430579632520676,-0.3163837492465973,-0.0012014559470117092,-0.0608572122079737,0.05503952156070517,0.13928189632932075
2025/07/05/17:49:33.712745,10304,1751712573,721147008,base_link,0.1242007315158844,-0.3481467664241791,0.003195354016497731,-0.02233624759218246,0.024058011092292417,0.1500157098527642
2025/07/05/17:49:33.812535,10305,1751712573,822147008,base_link,0.13897202908992767,-0.3735660910606384,0.005624192301183939,0.028683248506615237,-0.02426002341737897,0.16764853319173992
2025/07/05/17:49:33.912849,10306,1751712573,921147008,base_link,0.16994605958461761,-0.4056060016155243,0.0041364021599292755,0.04777377198885446,-0.04497670890817203,0.18048362840712392
2025/07/05/17:49:33.992749,10307,1751712574,2147008,base_link,0.19444385170936584,-0.4270208477973938,0.0031271688640117645,0.03740958546937296,-0.039645514208158525,0.18886838601939132
2025/07/05/17:49:34.092866,10308,1751712574,102147008,base_link,0.21551084518432617,-0.45818039774894714,0.0088739525526762,0.010656275646449352,-0.014187885905927709,0.190395470320074
2025/07/05/17:49:34.212806,10309,1751712574,221147008,base_link,0.24542374908924103,-0.4862014651298523,0.0072263996116817,-0.01006968678642312,0.012599102653567479,0.194444727663915
2025/07/05/17:49:34.292831,10310,1751712574,302147008,base_link,0.26584136486053467,-0.5049992799758911,0.00894942693412304,-0.02010101357049357,0.02938093117292519,0.20396430884217698
2025/07/05/17:49:34.512839,10311,1751712574,521147008,base_link,0.3308754563331604,-0.5470970869064331,0.005880408454686403,-0.017984630203207817,0.021695814943032098,0.20763950089923533
2025/07/05/17:49:34.592788,10312,1751712574,602147008,base_link,0.3468671143054962,-0.5611465573310852,0.007985318079590797,-0.00433342300232707,-0.009691390159883196,0.2198760432071975
2025/07/05/17:49:34.692706,10313,1751712574,702147008,base_link,0.3813738226890564,-0.5692324638366699,0.011695999652147293,0.011374063019243324,-0.024307915268105017,0.22561565761280117
2025/07/05/17:49:34.793067,10314,1751712574,801147008,base_link,0.4066624641418457,-0.5790445804595947,0.012046859599649906,0.017305914321731737,-0.022617149714777417,0.2295835259168104
2025/07/05/17:49:34.912901,10315,1751712574,922147008,base_link,0.445233553647995,-0.5891176462173462,0.014077293686568737,0.0033189583880465882,-0.0009050858535923981,0.229987238065371
2025/07/05/17:49:35.012656,10316,1751712575,22147008,base_link,0.464247465133667,-0.5990278720855713,0.013612496666610241,-0.020991800684759514,0.018980256494251262,0.22729315082410834
2025/07/05/17:49:35.092993,10317,1751712575,102147008,base_link,0.517757773399353,-0.5747174620628357,0.01539165060967207,-0.01651585030207497,0.009374821628908854,0.2215548088156466
2025/07/05/17:49:35.212780,10318,1751712575,221147008,base_link,0.5864903926849365,-0.5359395742416382,0.018456995487213135,0.06684982613145139,-0.06933596269645237,0.1387703133981486
2025/07/05/17:49:35.292474,10319,1751712575,301147008,base_link,0.6107407808303833,-0.5357444882392883,0.013829972594976425,0.15509235737167698,-0.1339103394324443,0.027038354842010656
2025/07/05/17:49:35.412805,10320,1751712575,422147008,base_link,0.66987144947052,-0.5061235427856445,0.01955590955913067,0.07971819541476466,-0.06648239249882544,-0.004783345592064964
2025/07/05/17:49:35.551675,10321,1751712575,560147008,base_link,0.7229717373847961,-0.47287705540657043,0.02767721563577652,0.0044098281868716754,0.0041106763492365535,-0.13734178774475797
2025/07/05/17:49:35.634459,10322,1751712575,643147008,base_link,0.7382814884185791,-0.46942049264907837,0.023509278893470764,0.0004178141007660386,0.021469799577363585,-0.24822302256811546
2025/07/05/17:49:35.711873,10323,1751712575,721147008,base_link,0.7535356879234314,-0.4747634530067444,0.02636243775486946,-0.04110572225528748,0.05694834501582385,-0.28394972901703996
2025/07/05/17:49:35.792723,10324,1751712575,802147008,base_link,0.7633641958236694,-0.47904887795448303,0.02022661082446575,-0.07001960621684547,0.07500049054968312,-0.30681153527699057
2025/07/05/17:49:35.892987,10325,1751712575,902147008,base_link,0.7500110268592834,-0.5168312191963196,0.02782050520181656,-0.06960932274188211,0.05557947985678653,-0.32271136868394135
2025/07/05/17:49:36.012787,10326,1751712576,22147008,base_link,0.6487799882888794,-0.6315224766731262,0.03266317397356033,-0.07724142000395784,0.0726744541002225,-0.24262119361071988
2025/07/05/17:49:36.092710,10327,1751712576,101147008,base_link,0.6034098267555237,-0.6632100939750671,0.03936721011996269,-0.19875223612609144,0.2279131800870436,-0.05830267030669041
2025/07/05/17:49:36.192698,10328,1751712576,201147008,base_link,0.6037402153015137,-0.6716445088386536,0.04138392210006714,-0.24714172334138507,0.3088101746887016,0.12132862846741205
2025/07/05/17:49:36.292678,10329,1751712576,301147008,base_link,0.6035148501396179,-0.6782293319702148,0.03361799195408821,-0.04852018989527853,0.08103461191609335,0.18196601484507172
2025/07/05/17:49:36.371686,10330,1751712576,381147008,base_link,0.6177090406417847,-0.6879883408546448,0.03084130398929119,0.15132401569808993,-0.15948632134806698,0.22502365210392072
2025/07/05/17:49:36.571520,10331,1751712576,580147008,base_link,0.6364959478378296,-0.6959490180015564,0.03086882084608078,0.19011577979952754,-0.21468024462010551,0.2831407469261071
2025/07/05/17:49:36.672020,10332,1751712576,681147008,base_link,0.652061402797699,-0.6958723664283752,0.03912430256605148,0.03276787899463067,-0.057043059439522495,0.2959338004030937
2025/07/05/17:49:36.751701,10333,1751712576,760147008,base_link,0.664911687374115,-0.69078129529953,0.04220866039395332,-0.050989567136136386,0.03125936802249544,0.29318584858489577
2025/07/05/17:49:36.833983,10334,1751712576,844147008,base_link,0.6840085983276367,-0.6840029954910278,0.04685703665018082,-0.09628091835396534,0.08663232255350815,0.2917486049480363
2025/07/05/17:49:36.951789,10335,1751712576,960147008,base_link,0.7136059403419495,-0.6688576340675354,0.04498827084898949,-0.07790353987925056,0.07267173580373107,0.29048801708383
2025/07/05/17:49:37.051682,10336,1751712577,60147008,base_link,0.7375211119651794,-0.6574884057044983,0.044236235320568085,0.0012898392768138055,0.00031365284869256174,0.2979585954096424
2025/07/05/17:49:37.151832,10337,1751712577,161147008,base_link,0.761289656162262,-0.6437361240386963,0.040420468896627426,0.05339429123999271,-0.043951013424820023,0.3110382234897135
2025/07/05/17:49:37.251671,10338,1751712577,260147008,base_link,0.7845434546470642,-0.6239628195762634,0.043976593762636185,0.06192204284612868,-0.055241974593443315,0.3124378089979288
2025/07/05/17:49:37.331672,10339,1751712577,340147008,base_link,0.7967976331710815,-0.6130692958831787,0.04676036909222603,0.04320910108790882,-0.041116568547018464,0.3122029258029801
2025/07/05/17:49:37.511774,10340,1751712577,521147008,base_link,0.8258779644966125,-0.5693124532699585,0.05327584594488144,0.01224726681871104,-0.013878331603696881,0.3181309659943375
2025/07/05/17:49:37.592890,10341,1751712577,602147008,base_link,0.8532418012619019,-0.5278155207633972,0.05367652699351311,-0.0030229709459936964,0.001829114727805073,0.29618298583762837
2025/07/05/17:49:37.692748,10342,1751712577,702147008,base_link,0.9121228456497192,-0.4095185101032257,0.06529185175895691,0.01693000627448117,-0.010974824045472259,0.25391084017830584
2025/07/05/17:49:37.792206,10343,1751712577,801147008,base_link,0.9272016286849976,-0.3607838451862335,0.06290222704410553,0.2146682709267735,-0.08796241934610416,0.08440611036927656
2025/07/05/17:49:37.871541,10344,1751712577,880147008,base_link,0.9374428987503052,-0.32331809401512146,0.06916078925132751,0.24570652084065592,-0.0838887240573083,-0.0480098464486919
2025/07/05/17:49:37.992213,10345,1751712578,2147008,base_link,0.9513857364654541,-0.2931029498577118,0.06296708434820175,0.03477337286824425,0.01038927718050365,-0.13806984005703415
2025/07/05/17:49:38.071728,10346,1751712578,80147008,base_link,0.9606831669807434,-0.26889219880104065,0.05709020420908928,-0.09528108838216515,0.06821692001084839,-0.19218576171297294
2025/07/05/17:49:38.170985,10347,1751712578,180147008,base_link,0.9603629112243652,-0.2659693956375122,0.045343223959207535,-0.1676323948841948,0.09100789994472983,-0.2641484244145282
2025/07/05/17:49:38.291781,10348,1751712578,301147008,base_link,0.9539733529090881,-0.2745184004306793,0.0481315478682518,-0.18015655844665424,0.07864032149571556,-0.29152134192098517
2025/07/05/17:49:38.412770,10349,1751712578,422147008,base_link,0.9427435398101807,-0.3018164336681366,0.0439172089099884,-0.1390158185427171,0.0639920312020225,-0.2863667101392713
2025/07/05/17:49:38.551639,10350,1751712578,561147008,base_link,0.9312825798988342,-0.31770312786102295,0.045032426714897156,0.0011336971339498056,-0.008094466832585981,-0.2509619987063816
