time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.channels
2025/07/05/17:49:31.131631,10279,1751712571,141334008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:31.234047,10280,1751712571,244208008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:31.332021,10281,1751712571,341324008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:31.511235,10282,1751712571,521589008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:31.592028,10283,1751712571,601950008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:31.672194,10284,1751712571,681600008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:31.752139,10285,1751712571,761506008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:31.851284,10286,1751712571,861113008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:31.992116,10287,1751712572,2167008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:32.051258,10288,1751712572,61104008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:32.150945,10289,1751712572,161083008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:32.272161,10290,1751712572,280911008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:32.350613,10291,1751712572,361035008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:32.530988,10292,1751712572,540746008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:32.633469,10293,1751712572,643997008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:32.731271,10294,1751712572,741299008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:32.834589,10295,1751712572,843916008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:32.952917,10296,1751712572,960610008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:33.033611,10297,1751712573,43978008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:33.131547,10298,1751712573,141024008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:33.233888,10299,1751712573,244015008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:33.331482,10300,1751712573,341299008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:33.513015,10301,1751712573,521972008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:33.592901,10302,1751712573,602585008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:33.671810,10303,1751712573,681619008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:33.792326,10304,1751712573,801600008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:33.851344,10305,1751712573,861111008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:33.951373,10306,1751712573,961239008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:34.051041,10307,1751712574,61036008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:34.151730,10308,1751712574,161207008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:34.251443,10309,1751712574,261144008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:34.392348,10310,1751712574,401935008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:34.552052,10311,1751712574,561301008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:34.651196,10312,1751712574,661119008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:34.751195,10313,1751712574,760891008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:34.851600,10314,1751712574,861351008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:34.972023,10315,1751712574,981501008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:35.051478,10316,1751712575,61299008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:35.151184,10317,1751712575,161029008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:35.251353,10318,1751712575,261115008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:35.331294,10319,1751712575,341039008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:35.511605,10320,1751712575,521618008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:35.592228,10321,1751712575,602473008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:35.672024,10322,1751712575,681585008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:35.751282,10323,1751712575,761226008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:35.850982,10324,1751712575,861043008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:35.972089,10325,1751712575,981709008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:36.051035,10326,1751712576,61033008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:36.131329,10327,1751712576,141048008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:36.231615,10328,1751712576,241193008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:36.331246,10329,1751712576,341213008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:36.531575,10330,1751712576,540648008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:36.633882,10331,1751712576,644245008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:36.711767,10332,1751712576,721945008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:36.812817,10333,1751712576,822484008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:36.911437,10334,1751712576,921548008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:37.012159,10335,1751712577,22441008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:37.111963,10336,1751712577,121937008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:37.212284,10337,1751712577,222214008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:37.292424,10338,1751712577,302175008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:37.392910,10339,1751712577,402918008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:37.551222,10340,1751712577,560997008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:37.631581,10341,1751712577,641105008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:37.731092,10342,1751712577,741147008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:37.831061,10343,1751712577,841019008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:37.951952,10344,1751712577,961367008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:38.034131,10345,1751712578,44018008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:38.131193,10346,1751712578,141144008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:38.231152,10347,1751712578,241045008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:38.330971,10348,1751712578,341114008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:38.512019,10349,1751712578,521926008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:38.614831,10350,1751712578,624639008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:38.692213,10351,1751712578,702441008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:38.793133,10352,1751712578,802709008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:38.891780,10353,1751712578,901579008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
2025/07/05/17:49:38.993240,10354,1751712579,2541008,,"(1500, 0, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
