time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.remote_timestamp_ns,.observed_offset_ns,.estimated_offset_ns,.round_trip_time_ms
2025/07/05/17:49:31.171728,10934,1751712571,171210224,,2944894999000,1751709626268890491,1751709626283147008,14.627306938171387
2025/07/05/17:49:31.271372,10935,1751712571,271028602,,2944995281000,1751709626268529903,1751709626283147008,14.431053161621094
2025/07/05/17:49:31.371236,10936,1751712571,370931135,,2945095319000,1751709626268397060,1751709626283147008,14.426219940185547
2025/07/05/17:49:31.471363,10937,1751712571,470966774,,2945195319000,1751709626268457224,1751709626283147008,14.377409934997559
2025/07/05/17:49:31.570629,10938,1751712571,570063001,,2945295091000,1751709626268242412,1751709626283147008,13.455662727355957
2025/07/05/17:49:31.672145,10939,1751712571,671246744,,2945394773000,1751709626269148197,1751709626283147008,14.389725685119629
2025/07/05/17:49:31.771702,10940,1751712571,771152096,,2945495454000,1751709626268410090,1751709626283147008,14.562933921813965
2025/07/05/17:49:31.871605,10941,1751712571,870933247,,2945595354000,1751709626268374666,1751709626283147008,14.405569076538086
2025/07/05/17:49:31.972042,10942,1751712571,971106019,,2945694529000,1751709626269362858,1751709626283147008,14.417339324951172
2025/07/05/17:49:32.071620,10943,1751712572,71170957,,2945794468000,1751709626269408649,1751709626283147008,14.584527969360352
2025/07/05/17:49:32.171280,10944,1751712572,170674917,,2945894981000,1751709626268660518,1751709626283147008,14.044795036315918
2025/07/05/17:49:32.271663,10945,1751712572,270990199,,2945995275000,1751709626268317729,1751709626283147008,13.951098442077637
2025/07/05/17:49:32.372018,10946,1751712572,371239181,,2946095024000,1751709626268849967,1751709626283147008,14.711874961853027
2025/07/05/17:49:32.471851,10947,1751712572,471154819,,2946195090000,1751709626268783006,1751709626283147008,14.559349060058594
2025/07/05/17:49:32.572244,10948,1751712572,571125810,,2946295470000,1751709626268351023,1751709626283147008,14.59847354888916
2025/07/05/17:49:32.672391,10949,1751712572,671144454,,2946395284000,1751709626268552483,1751709626283147008,14.590192794799805
2025/07/05/17:49:32.772321,10950,1751712572,771276022,,2946495265000,1751709626268684708,1751709626283147008,14.647175788879395
2025/07/05/17:49:32.873068,10951,1751712572,871500991,,2946595111000,1751709626268756330,1751709626283147008,14.603981971740723
2025/07/05/17:49:32.971908,10952,1751712572,971303241,,2946695295000,1751709626268620608,1751709626283147008,14.759305953979492
2025/07/05/17:49:33.072116,10953,1751712573,71252546,,2946795104000,1751709626268834127,1751709626283147008,14.625452995300293
2025/07/05/17:49:33.173150,10954,1751712573,171596741,,2946895071000,1751709626269048782,1751709626283147008,14.944334983825684
2025/07/05/17:49:33.272554,10955,1751712573,271607347,,2946995277000,1751709626268826859,1751709626283147008,14.984612464904785
2025/07/05/17:49:33.371673,10956,1751712573,371103816,,2947094999000,1751709626268857740,1751709626283147008,14.490339279174805
2025/07/05/17:49:33.471296,10957,1751712573,471055011,,2947195305000,1751709626268494713,1751709626283147008,14.24173641204834
2025/07/05/17:49:33.571403,10958,1751712573,571034636,,2947295298000,1751709626268537991,1751709626283147008,14.393624305725098
2025/07/05/17:49:33.671799,10959,1751712573,670964616,,2947395023000,1751709626268802292,1751709626283147008,14.275141716003418
2025/07/05/17:49:33.771600,10960,1751712573,771068254,,2947494505000,1751709626269406066,1751709626283147008,14.308499336242676
2025/07/05/17:49:33.871637,10961,1751712573,871149615,,2947595224000,1751709626268600718,1751709626283147008,14.641457557678223
2025/07/05/17:49:33.971158,10962,1751712573,970457815,,2947695108000,1751709626268414166,1751709626283147008,13.860894203186035
2025/07/05/17:49:34.071464,10963,1751712574,71285313,,2947795338000,1751709626268492250,1751709626283147008,14.649368286132812
2025/07/05/17:49:34.171866,10964,1751712574,171197170,,2947895101000,1751709626268749589,1751709626283147008,14.680800437927246
2025/07/05/17:49:34.270967,10965,1751712574,270386742,,2947995118000,1751709626268326583,1751709626283147008,13.874510765075684
2025/07/05/17:49:34.371469,10966,1751712574,370968542,,2948095108000,1751709626268676486,1751709626283147008,14.3648681640625
2025/07/05/17:49:34.471586,10967,1751712574,471094302,,2948195326000,1751709626268517806,1751709626283147008,14.496781349182129
2025/07/05/17:49:34.571660,10968,1751712574,570934318,,2948295285000,1751709626268445170,1751709626283147008,14.398194313049316
2025/07/05/17:49:34.671804,10969,1751712574,671275666,,2948395120000,1751709626268685461,1751709626283147008,14.658976554870605
2025/07/05/17:49:34.772184,10970,1751712574,771191071,,2948494991000,1751709626268863214,1751709626283147008,14.66204833984375
2025/07/05/17:49:34.872128,10971,1751712574,871222827,,2948595122000,1751709626268751561,1751709626283147008,14.685843467712402
2025/07/05/17:49:34.972015,10972,1751712574,971084579,,2948695284000,1751709626268621225,1751709626283147008,14.355039596557617
2025/07/05/17:49:35.071655,10973,1751712575,71109600,,2948795289000,1751709626268516958,1751709626283147008,14.603533744812012
2025/07/05/17:49:35.171376,10974,1751712575,170482438,,2948895277000,1751709626268212757,1751709626283147008,13.972430229187012
2025/07/05/17:49:35.271766,10975,1751712575,270968436,,2948995103000,1751709626268569385,1751709626283147008,14.326387405395508
2025/07/05/17:49:35.371692,10976,1751712575,371115907,,2949095105000,1751709626268707126,1751709626283147008,14.596139907836914
2025/07/05/17:49:35.471591,10977,1751712575,471175122,,2949195244000,1751709626268664393,1751709626283147008,14.528858184814453
2025/07/05/17:49:35.570670,10978,1751712575,570174661,,2949294807000,1751709626268644256,1751709626283147008,13.44309139251709
2025/07/05/17:49:35.671227,10979,1751712575,670796023,,2949394615000,1751709626269142374,1751709626283147008,14.07359790802002
2025/07/05/17:49:35.770906,10980,1751712575,770272247,,2949495082000,1751709626268343381,1751709626283147008,13.690110206604004
2025/07/05/17:49:35.871363,10981,1751712575,871195905,,2949595224000,1751709626268566546,1751709626283147008,14.54898738861084
2025/07/05/17:49:35.971928,10982,1751712575,971160847,,2949694794000,1751709626269131546,1751709626283147008,14.466411590576172
2025/07/05/17:49:36.071340,10983,1751712576,70611269,,2949795086000,1751709626268509661,1751709626283147008,14.015445709228516
2025/07/05/17:49:36.171477,10984,1751712576,171010035,,2949895116000,1751709626268682596,1751709626283147008,14.419242858886719
2025/07/05/17:49:36.271396,10985,1751712576,271008412,,2949995114000,1751709626268649690,1751709626283147008,14.48557186126709
2025/07/05/17:49:36.371751,10986,1751712576,371097541,,2950095040000,1751709626268801130,1751709626283147008,14.509322166442871
2025/07/05/17:49:36.471336,10987,1751712576,471069304,,2950194460000,1751709626269360532,1751709626283147008,14.196501731872559
2025/07/05/17:49:36.571872,10988,1751712576,571043453,,2950295115000,1751709626268717278,1751709626283147008,14.418803215026855
2025/07/05/17:49:36.671930,10989,1751712576,671156641,,2950395443000,1751709626268462500,1751709626283147008,14.491645812988281
2025/07/05/17:49:36.770778,10990,1751712576,770224303,,2950495291000,1751709626268150450,1751709626283147008,13.551514625549316
2025/07/05/17:49:36.871490,10991,1751712576,871121755,,2950595003000,1751709626268927762,1751709626283147008,14.377443313598633
2025/07/05/17:49:36.971789,10992,1751712576,971157715,,2950695261000,1751709626268611305,1751709626283147008,14.567025184631348
2025/07/05/17:49:37.071013,10993,1751712577,70639519,,2950795324000,1751709626268107802,1751709626283147008,13.65536880493164
2025/07/05/17:49:37.171845,10994,1751712577,171207626,,2950895461000,1751709626268441701,1751709626283147008,14.595863342285156
2025/07/05/17:49:37.270824,10995,1751712577,270228082,,2950995023000,1751709626268385609,1751709626283147008,13.630847930908203
2025/07/05/17:49:37.371351,10996,1751712577,370942764,,2951094508000,1751709626269328551,1751709626283147008,14.20697021484375
2025/07/05/17:49:37.471301,10997,1751712577,470927297,,2951195280000,1751709626268475412,1751709626283147008,14.339536666870117
2025/07/05/17:49:37.571055,10998,1751712577,570384890,,2951295128000,1751709626268350249,1751709626283147008,13.79732608795166
2025/07/05/17:49:37.671587,10999,1751712577,671275093,,2951395101000,1751709626268715157,1751709626283147008,14.62925910949707
2025/07/05/17:49:37.772563,11000,1751712577,771556805,,2951495113000,1751709626268954404,1751709626283147008,14.962311744689941
