time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.level,.name,.msg,.file,.function,.line,.topics
2025/07/05/17:49:30.923921,1449,1751712570,895220920,,2,/record_1751712570616650231,Subscribing to /waypoints/mission_7/in,/tmp/binarydeb/ros-noetic-rosbag-1.17.2/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
2025/07/05/17:49:30.923924,1450,1751712570,901267179,,2,/record_1751712570616650231,Subscribing to /waypoints/mission_8/pre,/tmp/binarydeb/ros-noetic-rosbag-1.17.2/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
2025/07/05/17:49:30.923932,1451,1751712570,905387233,,2,/record_1751712570616650231,Subscribing to /waypoints/mission_8/in,/tmp/binarydeb/ros-noetic-rosbag-1.17.2/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
2025/07/05/17:49:30.923944,1452,1751712570,907004961,,2,/record_1751712570616650231,Subscribing to /waypoints/mission_9/pre,/tmp/binarydeb/ros-noetic-rosbag-1.17.2/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
2025/07/05/17:49:30.924036,1453,1751712570,909491912,,2,/record_1751712570616650231,Subscribing to /waypoints/mission_9/in,/tmp/binarydeb/ros-noetic-rosbag-1.17.2/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
2025/07/05/17:49:30.924040,1454,1751712570,912571472,,2,/record_1751712570616650231,Subscribing to /waypoints/mission_10/pre,/tmp/binarydeb/ros-noetic-rosbag-1.17.2/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
2025/07/05/17:49:30.924110,1455,1751712570,915102759,,2,/record_1751712570616650231,Subscribing to /waypoints/mission_10/in,/tmp/binarydeb/ros-noetic-rosbag-1.17.2/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
2025/07/05/17:49:30.924115,1456,1751712570,916348958,,2,/record_1751712570616650231,Subscribing to /camera/critline,/tmp/binarydeb/ros-noetic-rosbag-1.17.2/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
2025/07/05/17:49:30.924185,1457,1751712570,917467647,,2,/record_1751712570616650231,Subscribing to /camera/boatside,/tmp/binarydeb/ros-noetic-rosbag-1.17.2/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
2025/07/05/17:49:30.924191,1458,1751712570,919031277,,2,/record_1751712570616650231,Subscribing to /manualctrl,/tmp/binarydeb/ros-noetic-rosbag-1.17.2/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
2025/07/05/17:49:30.924249,1459,1751712570,920012738,,2,/record_1751712570616650231,Subscribing to /rviz_plugin/stateMission,/tmp/binarydeb/ros-noetic-rosbag-1.17.2/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
2025/07/05/17:49:30.924272,1460,1751712570,920929012,,2,/record_1751712570616650231,Subscribing to /sequenceMission,/tmp/binarydeb/ros-noetic-rosbag-1.17.2/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
2025/07/05/17:49:30.924295,1461,1751712570,921890202,,2,/record_1751712570616650231,Subscribing to /rviz_plugin/jumpWP,/tmp/binarydeb/ros-noetic-rosbag-1.17.2/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
2025/07/05/17:49:30.924331,1462,1751712570,922843769,,2,/record_1751712570616650231,Subscribing to /pids,/tmp/binarydeb/ros-noetic-rosbag-1.17.2/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
