time,.data
2025/07/05/17:49:31.132540,-1.2547171992587234
2025/07/05/17:49:31.234271,-1.247212283475148
2025/07/05/17:49:31.333015,-1.2393583018411731
2025/07/05/17:49:31.493953,-1.2271409970772131
2025/07/05/17:49:31.592261,-1.2198106142188367
2025/07/05/17:49:31.672776,-1.2142255606124548
2025/07/05/17:49:31.752370,-1.208465974080874
2025/07/05/17:49:31.851537,-1.2009610582972983
2025/07/05/17:49:31.972477,-1.1920598791121273
2025/07/05/17:49:32.052532,-1.186474825505745
2025/07/05/17:49:32.151013,-1.1798425743481666
2025/07/05/17:49:32.252343,-1.1733848561157876
2025/07/05/17:49:32.351268,-1.1671016708086082
2025/07/05/17:49:32.514075,-1.1566296952966424
2025/07/05/17:49:32.633938,-1.1487757136626675
2025/07/05/17:49:32.731524,-1.1423179954302884
2025/07/05/17:49:32.835251,-1.1360348101231093
2025/07/05/17:49:32.932307,-1.129926157741129
2025/07/05/17:49:33.033922,-1.1238175053591486
2025/07/05/17:49:33.132275,-1.1175343200519692
2025/07/05/17:49:33.234876,-1.110902068894391
2025/07/05/17:49:33.331746,-1.1044443506620116
2025/07/05/17:49:33.494055,-1.09257611174845
2025/07/05/17:49:33.592977,-1.078788010657695
2025/07/05/17:49:33.672851,-1.066570705893735
2025/07/05/17:49:33.773225,-1.0485938145981932
2025/07/05/17:49:33.851512,-1.0327113184050445
2025/07/05/17:49:33.952005,-1.0126400320071103
2025/07/05/17:49:34.052481,-0.9929178114595738
2025/07/05/17:49:34.152924,-0.9730210579868387
2025/07/05/17:49:34.252286,-0.9524261728133055
2025/07/05/17:49:34.353321,-0.9313076888641744
2025/07/05/17:49:34.553499,-0.8864527270879198
2025/07/05/17:49:34.653507,-0.8627162492607972
2025/07/05/17:49:34.752358,-0.8388052385084748
2025/07/05/17:49:34.852493,-0.8148942277561525
2025/07/05/17:49:34.973483,-0.7869689597242432
2025/07/05/17:49:35.052108,-0.7691666013539009
2025/07/05/17:49:35.152112,-0.7543313027119493
2025/07/05/17:49:35.253012,-0.7482226503299692
2025/07/05/17:49:35.331675,-0.7476990515543708
2025/07/05/17:49:35.474224,-0.76323248189712
